GoodRateShow,FBnumber,keyword,GeneralCount,PreferentialPrice,ProductID,p_Name,type,PoorCount,GoodCount,CommentCount,price,shop_name
97,3片,质量不错 风扇不错 安装方便 风力很大 造型美观 噪音很小 使用方便 底座很稳 安全节能 风很柔和,20,159.00,4483854,格力（GREE）FD-4033-WG 三叶机械落地扇/电风扇,落地扇,10,1200,1300,239.00,格力生活电器旗舰店
97,7片及以上,风扇不错 噪音很小 质量不错 造型美观 风很柔和 安装方便 扇网坚固 底座很稳 风力很大 颜色漂亮 风很柔和 安装方便,10,258.00,4424976,美的（Midea）FTS30-17A 家用升降转页扇/台地扇/电风扇,台扇,10,700,700,299.00,美的两季品旗舰店
93,3片,造型美观 遥控方便 风扇不错 使用方便 质量不错 风很柔和 底座很稳 远程遥控 噪音很小 电机好 造型美观 使用方便 远程遥控,20,375.00,1646215823,【京东配送】IRIS/爱丽思空气循环扇电风扇家用台式扇遥控定时静音摇头扇PCF-C18C,台扇，空气循环扇,9,400,500,588.00,爱丽思幸辉国际专卖店
100,无叶,质量不错 使用方便 风扇不错 风很柔和 噪音很小 安装方便 遥控方便 造型美观 安全节能 底座很稳 风扇不错 质量不错 安装方便 颜色漂亮 噪音很小 风很柔和 使用方便 造型美观 安全节能 风很柔和 安装方便 电机好 安装方便 造型美观 遥控方便 扇网坚固 噪音很小 安全节能 造型美观 遥控方便 底座很稳 质量不错 底座很稳 遥控方便 风扇不错 噪音很小 安全节能 适合宝宝 底座很稳 造型美观 质量不错 风扇不错 颜色漂亮 质量不错 底座很稳 质量不错 噪音很小 造型美观 安全节能 遥控方便,10,599.00,1672335439,爱家乐 电风扇AX100  无叶风扇 台式落地扇 家用空气循环扇 自然风 遥控,落地扇，台扇,10,3600,3700,1998.00,爱家乐旗舰店
92,5片,还可以吧 风扇不错 使用方便 质量不错 风力很大 风很柔和 噪音很小 底座很稳 电机好 安装方便,3000,59.00,598507,赛亿(Shinee)电风扇/台式转页扇/定时台扇/五风叶学生床头换气鸿运风扇KYT25-1,转页扇，台扇，空气循环扇，风扇伴侣,1100,44000,48000,149.00,赛亿两季品旗舰店
93,5片,风力很大 安装方便 风扇不错 质量不错 使用方便 底座很稳 噪音很小 风很柔和 电机好 声音小,8100,99.00,383871,华生（Wahson）FS40-1102 电风扇/落地扇/风扇,落地扇，空气循环扇,3600,140000,150000,169.00,华生旗舰店
93,3片,使用方便 风扇不错 质量不错 风很柔和 噪音很小 安全节能 底座很稳 安装方便 风力很大 电机好 风很柔和 风力很大 质量不错 底座很稳 风很柔和 造型美观 使用方便,500,49.80,2393885,赛亿(Shinee)多功能USB电风扇/台夹扇/学生宿舍床头可台式壁挂移动迷你小风扇FTB6-01,转页扇，台扇，壁扇，空气循环扇，USB风扇，风扇伴侣,400,13000,14000,129.00,赛亿两季品旗舰店
94,5片,遥控方便 风扇不错 风力很大 安装方便 质量不错 使用方便 还可以吧 远程遥控 底座很稳 造型美观,1500,149.00,1058012,奥克斯（AUX）FS-40-A1626RC 电风扇/酷黑五扇叶遥控落地扇,落地扇，空气循环扇,600,41000,43000,399.00,奥克斯电风扇旗舰店
96,5片,风力很大 质量不错 风扇不错 噪音很小 安装方便 遥控方便 使用方便 造型美观 底座很稳 扇网坚固,40,159.00,10225600578,【京仓直送】先锋（Singfun）可定时落地立式冷风扇厨房卧室遥控静音大风力电风扇落地扇 DD1312遥控5叶,落地扇,30,1700,1800,498.00,先锋生活电器旗舰店
94,无叶,安装方便 质量不错 风很柔和 风扇不错 使用方便 噪音很小 造型美观 底座很稳 风力很大 安全节能 安装方便 安全节能 使用方便,200,199.00,2495965,荣事达（Royalstar）JD02T 电风扇/机械塔扇,塔扇，空气循环扇,100,5300,5600,399.00,荣事达（Royalstar）两季品旗舰店
PoorCount,CommentCount,ProductID,FBnumber,type,GeneralCount,keyword,GoodRateShow,GoodCount,price,shop_name,p_Name,PreferentialPrice
40,3100,10162152537,5片,转页扇,70,质量不错 噪音很小 风扇不错 使用方便 造型美观 风很柔和 风力很大 底座很稳 安全节能 颜色漂亮 质量不错 风扇不错 噪音很小 风很柔和,97,3000,298.00,格力明达丰专卖店,格力(GREE)KYT-2501A 家用床头静音台式转页扇 办公学生室宿舍电风扇鸿运扇,89.00
2,50,12880834230,3片,台扇，空气循环扇,1,远程遥控 造型美观 遥控方便 风扇不错 风很柔和 风力很大 噪音很小 广角送风 底座很稳 睡眠风不错,94,40,599.00,爱丽思幸辉国际专卖店,IRIS/爱丽思空气循环扇电风扇家用台式扇遥控定时上下摇头扇PCF-C18TC 白色,395.00
3,1000,10238255560,无叶,落地扇,10,质量不错 造型美观 噪音很小 使用方便 风扇不错 安全节能 风很柔和 遥控方便 安装方便 颜色漂亮 风很柔和 适合宝宝 适合宝宝 风很柔和 底座很稳 遥控方便 远程遥控 质量不错 颜色漂亮 扇网坚固 噪音很小 遥控方便 安全节能 使用方便 扇网坚固 使用方便 噪音很小 质量不错 颜色漂亮 底座很稳 造型美观 风很柔和,99,1000,999.00,爱家乐旗舰店,爱家乐电风扇AX102 COO 无叶风扇壁挂台式静音家用单冷落地扇空气循环扇,499.00
20,600,1536413477,无叶,塔扇,10,造型美观 使用方便 遥控方便 质量不错 颜色漂亮 风力很大 风扇不错 风很柔和 底座很稳 安装方便 风很柔和 底座很稳 适合宝宝 质量不错 造型美观 造型美观 风很柔和 风扇不错 噪音很小 颜色漂亮,93,600,1209.00,艾美特子云专卖店,艾美特(Airmate) 塔扇FTW57R无叶电风扇 节能省电 遥控,399.00
7,400,4077201,5片,落地扇,8,风很柔和 质量不错 安全节能 使用方便 风扇不错 造型美观 安装方便 遥控方便 电机好 风力很大 底座很稳 安全节能 噪音很小 使用方便 远程遥控 质量不错 扇网坚固 造型美观 广角送风 风扇不错 睡眠风不错 风很柔和 远程遥控 遥控方便 造型美观,96,300,399.00,海尔两季品旗舰店,海尔（Haier）FSY4071B 五叶遥控可定时方管电风扇/落地扇,199.00
1,100,4424980,7片及以上,落地扇,4,风很柔和 颜色漂亮 质量不错 噪音很小 安装方便 造型美观 安全节能 远程遥控 睡眠风不错 风扇不错 质量不错 扇网坚固 使用方便 安全节能 噪音很小 安全节能 睡眠风不错 风力很大 风很柔和 噪音很小 睡眠风不错 适合宝宝 噪音很小 远程遥控 远程遥控 安装方便 造型美观 电机好 噪音很小,95,100,1199.00,美的两季品旗舰店,美的（Midea）FS40-17AR 高端九叶变频遥控落地扇/电风扇,999.00
10,800,4593988,3片,转页扇，台扇,20,风扇不错 安装方便 使用方便 风力很大 造型美观 噪音很小 底座很稳 风很柔和 颜色漂亮 质量不错 噪音很小 造型美观,95,700,70.00,海纳斯两季品旗舰店,海纳斯（HANASS）M2-388 电风扇 家用转页扇迷你小风扇台式办公室鸿运扇/台扇,59.00
500,24000,2525453,5片,落地扇,900,安装方便 风力很大 风扇不错 质量不错 使用方便 颜色漂亮 底座很稳 造型美观 噪音很小 风很柔和 睡眠风不错 质量不错 安装方便 质量不错 风扇不错 风力很大 安装方便 质量不错 风力很大 安装方便 广角送风 质量不错 安全节能 快递不行 安装方便 使用方便,94,22000,199.00,长城官方旗舰店,长城（ CHANGCHENG）FS-40(601)电风扇/落地扇/炫酷五叶风扇,109.00
100,5800,857977,3片,台扇,200,使用方便 质量不错 风扇不错 风力很大 底座很稳 安装方便 风很柔和 噪音很小 还可以吧 声音小 使用方便 电机好 造型美观 安全节能 颜色漂亮 扇网坚固 造型美观 颜色漂亮 风力很大 风扇不错 使用方便,94,5400,179.00,美的两季品旗舰店,美的（Midea）FTW18-12L 台夹两用扇/电风扇,128.00
200,7600,608059,5片,落地扇，转页扇,600,还可以吧 安装方便 使用方便 质量不错 风扇不错 风力很大 风很柔和 噪音很小 底座很稳 安全节能 电机好 造型美观 底座很稳 颜色漂亮 扇网坚固,88,6600,188.00,华生旗舰店,华生（Wahson）KYT30-1101S 电风扇/升降式转页扇/风扇,99.00
500,46000,1058017,5片,落地扇，空气循环扇,1500,还可以吧 风扇不错 安装方便 风力很大 质量不错 使用方便 噪音很小 底座很稳 造型美观 颜色漂亮,96,43000,239.00,志高电风扇旗舰店,志高（CHIGO）FS-40-16A27 电风扇/炫彩五扇叶落地扇,119.00
100,10000,2593396,5片,转页扇,200,风扇不错 使用方便 质量不错 风力很大 风很柔和 颜色漂亮 噪音很小 造型美观 底座很稳 安全节能 底座很稳 质量不错 风很柔和 颜色漂亮 风力很大 底座很稳 风很柔和 使用方便 风力很大 风扇不错 质量不错,96,9900,199.00,先锋两季品旗舰店,先锋（Singfun）台式转页扇/电风扇DK3302,69.00
