PreferentialPrice,FBnumber,PoorCount,p_Name,shop_name,ProductID,price,type,GoodCount,GoodRateShow,keyword,GeneralCount,CommentCount
219,5片,4100,美的（Midea）FS40-13ER 五叶遥控落地扇/电风扇,美的两季品旗舰店,1069555,329,落地扇,250000,95,遥控方便 安装方便 风扇不错 风力很大 质量不错 使用方便 噪音很小 底座很稳 风很柔和 睡眠风不错 质量不错 远程遥控 安全节能 风力很大 噪音很小,6600,260000
329,无叶,700,美的（midea）FZ10-15BRW 遥控塔扇/电风扇,美的两季品旗舰店,1361004,449,塔扇,59000,97,遥控方便 安装方便 风扇不错 使用方便 质量不错 风很柔和 噪音很小 风力很大 造型美观 底座很稳 造型美观 风扇不错,1200,61000
188,5片,300,格力（GREE）FD-40X64Bh5  五叶遥控落地扇/电风扇,格力生活电器旗舰店,3899679,299,落地扇,32000,97,风扇不错 安装方便 遥控方便 质量不错 噪音很小 底座很稳 造型美观 使用方便 风力很大 远程遥控 风很柔和 风力很大 噪音很小 广角送风 安装方便 底座很稳 广角送风 扇网坚固 使用方便 风很柔和,500,33000
109,5片,2500,奥克斯（AUX）FS-40-A1613 电风扇/酷黑五扇叶落地扇,奥克斯电风扇旗舰店,1058010,239,落地扇，空气循环扇,160000,96,风扇不错 安装方便 风力很大 质量不错 使用方便 底座很稳 造型美观 风很柔和 安全节能 颜色漂亮 遥控方便 使用方便 安装方便 底座很稳,5500,170000
299,无叶,300,艾美特(Airmate) FT41R 遥控塔扇/电风扇,艾美特生活电器旗舰店,4533788,799,塔扇,16000,94,造型美观 安装方便 遥控方便 风很柔和 使用方便 风扇不错 质量不错 颜色漂亮 噪音很小 远程遥控,600,17000
199,3片,4000,艾美特(Airmate) FSW52R 遥控落地扇/电风扇,艾美特生活电器旗舰店,595936,299,落地扇,320000,96,风扇不错 安装方便 遥控方便 质量不错 噪音很小 使用方便 风力很大 风很柔和 远程遥控 底座很稳 颜色漂亮 安装方便 遥控方便 风很柔和 质量不错,8700,330000
189,5片,900,美的（Midea）FS40-13C 五叶落地扇/电风扇,美的两季品旗舰店,1077868,319,落地扇,70000,97,风扇不错 质量不错 安装方便 风力很大 噪音很小 使用方便 底座很稳 风很柔和 电机好 声音小,1500,72000
189,5片,2400,艾美特(Airmate) FSW65T2-5 五叶落地扇/电风扇,艾美特生活电器旗舰店,829764,309,落地扇,170000,96,风扇不错 质量不错 安装方便 风力很大 使用方便 噪音很小 底座很稳 风很柔和 造型美观 安全节能 风力很大 风很柔和 底座很稳 使用方便 安全节能,5600,180000
138,3片,1700,格力（GREE）FD-4013JD 机械式落地扇/电风扇,格力生活电器旗舰店,603496,239,落地扇,140000,96,风扇不错 安装方便 质量不错 风力很大 噪音很小 使用方便 底座很稳 风很柔和 声音小 电机好 风力很大 质量不错 安装方便 小清新 厚重耐磨 电机好 使用方便 风扇不错 底座很稳 安装方便 扇网坚固 底座很稳,4400,150000
109,5片,1400,先锋（Singfun）大风量电风扇/落地扇 DD1701,先锋两季品旗舰店,3998821,199,落地扇,93000,96,风力很大 安装方便 风扇不错 质量不错 使用方便 底座很稳 造型美观 颜色漂亮 噪音很小 安全节能 噪音很小 安装方便 质量不错 风力很大 广角送风,2700,98000
159,5片,100,格力（GREE）FD-4010-WG 五叶机械落地扇 电风扇,格力生活电器旗舰店,4483862,239,落地扇,15000,97,风扇不错 安装方便 质量不错 风力很大 使用方便 噪音很小 风很柔和 造型美观 底座很稳 扇网坚固 噪音很小 底座很稳 安装方便 颜色漂亮 风力很大 广角送风 风很柔和 电机好 底座很稳 噪音很小 底座很稳 扇网坚固 安装方便 使用方便 噪音很小,200,15000
219,5片,100,艾美特(Airmate) FS40103R 五叶遥控落地扇/电风扇,艾美特生活电器旗舰店,3918861,599,落地扇,11000,96,安装方便 风扇不错 遥控方便 造型美观 噪音很小 风很柔和 使用方便 颜色漂亮 风力很大 远程遥控 底座很稳 睡眠风不错 噪音很小 风力很大 风扇不错 颜色漂亮 遥控方便 质量不错 风很柔和 造型美观 风很柔和 睡眠风不错 遥控方便 颜色漂亮 风扇不错,200,11000
159,3片,2400,美的（Midea）FS40-11L1 落地扇/电风扇,美的两季品旗舰店,861100,199,落地扇,170000,96,风扇不错 质量不错 安装方便 噪音很小 使用方便 风力很大 风很柔和 底座很稳 造型美观 颜色漂亮 使用方便 风力很大 噪音很小,4900,180000
169,5片,500,先锋（Singfun）6档遥控电风扇/落地扇DD3305 LED液晶显示,先锋两季品旗舰店,1399677,499,落地扇,39000,97,遥控方便 风扇不错 安装方便 质量不错 噪音很小 使用方便 风力很大 风很柔和 底座很稳 造型美观,800,41000
