p_Name,shop_name,ProductID,price,PreferentialPrice,CommentCount,GoodRateShow,GoodCount,GeneralCount,PoorCount,brand,keyword,type,X_type,X_name
美的（Midea）FS40-13GR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇,美的绿灯侠专卖店,10913792973,,,11000,98,10000,100,100,美的（Midea）,质量不错 风扇不错 安装方便 风力很大 噪音很小 使用方便 造型美观 遥控方便 底座很稳 安全节能,"美的（Midea） FS40-13GR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇,10913792973, ,5.5kg,FS40-13GR,2-8小时,三档调节,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",落地扇,美的（Midea） FS40-13GR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇
美的（Midea）塔扇 风扇 落地扇电风扇 静音预约定时,美的小家电旗舰店,10329448645,,,1400,96,1400,30,20,美的（Midea）,造型美观 风力很大 噪音很小 质量不错 风扇不错 使用方便 遥控方便 广角送风 颜色漂亮 远程遥控,"美的（Midea）塔扇 风扇 落地扇电风扇 静音预约定时,10329448645, ,7.8kg,中国大陆,21056110000151（FZ10-16BRW）,8小时以上,五档以上,正常风,无叶,3级,遥控式,塔扇",塔扇,美的（Midea）塔扇 风扇 落地扇电风扇 静音预约定时
钻石牌（DIAMOND）FS－40ⅡF 五叶落地扇/电风扇静音16寸四档调速 黑色,钻石牌非凡专卖店,11846057188,,,1400,97,1400,20,20,钻石牌（DIAMOND）,安装方便 质量不错 使用方便 风力很大 噪音很小 风很柔和 风扇不错 底座很稳 扇网坚固 睡眠风不错,"钻石牌（DIAMOND）FS－40ⅡF 五叶落地扇/电风扇静音16寸四档调速 黑色,11846057188, ,7.0kg,中国大陆,FS-40II F,2小时以下,四档调节,正常风、自然风、睡眠风,5片,2级,机械式,落地扇",落地扇,钻石牌（DIAMOND）FS－40ⅡF 五叶落地扇/电风扇静音16寸四档调速 黑色
戴森(Dyson) TP03空气净化风扇/电风扇/塔扇 净化PM0.1和甲醛+强劲气流 循环空气 塔式智能 银白,戴森官方旗舰店,4840262,,,200,98,200,4,2,DYSON,造型美观 安全节能 颜色漂亮 使用方便 风扇不错 安装方便 扇网坚固 广角送风 质量不错 遥控方便 广角送风 适合宝宝 风扇不错 远程遥控 安全节能,"DYSONTP03白银,4840262,5.82kg,马来西亚,308045-01,8小时以上,五档以上,正常风、自然风、睡眠风,无叶,无,APP控制,落地扇，塔扇，空气循环扇",落地扇，塔扇，空气循环扇,DYSONTP03白银
凯迪 电风扇定时办公室落地扇卧室家用电扇立式静音电扇落地扇 黑色定时,凯迪电器旗舰店,11916701938,,,4200,94,3900,100,100,凯迪电器,质量不错 风扇不错 噪音很小 风力很大 使用方便 底座很稳 造型美观 安装方便 风很柔和 安全节能 风很柔和,"凯迪 电风扇定时办公室落地扇卧室家用电扇立式静音电扇落地扇 黑色定时,11916701938, ,5.0kg,中国大陆,A14-R,2小时以下,三档调节,正常风,5片,1级,机械式,落地扇",落地扇,凯迪 电风扇定时办公室落地扇卧室家用电扇立式静音电扇落地扇 黑色定时
英国QG(QG)AirCool无叶风扇电风扇冷暖空气循环扇家用电扇落地塔扇 冷暖,QG生活电器旗舰店,10626848028,,,2000,96,1900,50,20,QG,造型美观 风很柔和 使用方便 质量不错 噪音很小 安全节能 安装方便 风扇不错 遥控方便 底座很稳 质量不错 风很柔和 使用方便 安装方便,"QG 英国AirCool无叶风扇电风扇冷暖空气循环扇家用电扇落地塔扇 冷暖,10626848028, ,3.8kg,中国大陆,2-8小时,五档以上,正常风、自然风,无叶,1级,遥控式,落地扇，塔扇，台扇，空气循环扇",落地扇，塔扇，台扇，空气循环扇,QG 英国AirCool无叶风扇电风扇冷暖空气循环扇家用电扇落地塔扇 冷暖
格力(GREE)风扇 台式电风扇鸿运扇转页扇小风扇迷你宿舍台扇定时五叶风扇KYT-2501 浅灰色,格力智购专卖店,12401990604,,,1900,97,1900,30,20,格力（GREE）,噪音很小 风很柔和 使用方便 质量不错 风扇不错 睡眠风不错 造型美观 电机好 颜色漂亮 风力很大,"格力(GREE)风扇 台式电风扇鸿运扇转页扇小风扇迷你宿舍台扇定时五叶风扇KYT-2501 浅灰色,12401990604, ,2.6kg,中国大陆,KYT-2501,2小时以下,四档调节,正常风、自然风、睡眠风,5片,1级,机械式,转页扇",转页扇,格力(GREE)风扇 台式电风扇鸿运扇转页扇小风扇迷你宿舍台扇定时五叶风扇KYT-2501 浅灰色
艾美特(Airmate)【到手价199】五叶遥控落地扇/电风扇FS4092R-WA,艾美特旗舰店,10502318585,,,1000,92,900,40,40,艾美特（AIRMATE）,风扇不错 遥控方便 安装方便 风力很大 质量不错 噪音很小 使用方便 造型美观 风很柔和 底座很稳,"艾美特(Airmate)【到手价199】五叶遥控落地扇/电风扇FS4092R-WA,10502318585, ,8.7kg,FS4092R-WA,2-8小时,四档调节,正常风,5片,1级,遥控式,落地扇",落地扇,艾美特(Airmate)【到手价199】五叶遥控落地扇/电风扇FS4092R-WA
美的（Midea）FZ10-15BRW 塔扇无叶风扇电风扇遥控家用静音立式风扇,美的环境电器旗舰店,10988055671,,,4900,98,4800,60,70,美的（Midea）,噪音很小 风很柔和 造型美观 安全节能 风力很大 底座很稳 颜色漂亮 远程遥控 扇网坚固 电机好,"美的（Midea）FZ10-15BRW 塔扇无叶风扇电风扇遥控家用静音立式风扇,10988055671, ,4.1kg,中国大陆,FZ10-15BRW,2-8小时,三档调节,正常风、自然风、睡眠风,无叶,无,遥控式,塔扇",塔扇,美的（Midea）FZ10-15BRW 塔扇无叶风扇电风扇遥控家用静音立式风扇
美的（Midea） FZ10-15BRW 塔扇无叶风扇/智能风扇/遥控电风扇 静音立式风扇,美的绿灯侠专卖店,11166367999,,,1600,96,1600,30,30,美的（Midea）,质量不错 造型美观 使用方便 遥控方便 风扇不错 安全节能 风很柔和 噪音很小 风力很大 安装方便,"美的（Midea） FZ10-15BRW 塔扇无叶风扇/智能风扇/遥控电风扇 静音立式风扇,11166367999, ,5.7kg,中国大陆,FZ10-15BRW,2-8小时,三档调节,正常风、自然风、睡眠风,无叶,无,遥控式,塔扇",塔扇,美的（Midea） FZ10-15BRW 塔扇无叶风扇/智能风扇/遥控电风扇 静音立式风扇
