p_Name,shop_name,ProductID,price,PreferentialPrice,CommentCount,GoodRateShow,GoodCount,GeneralCount,PoorCount,brand,keyword,type,X_type,capacity,X_name
九阳（Joyoung）电水壶1.3L电热水壶全钢内胆JYK-13F05A,九阳厨房电器旗舰店,880516,199.00,79.00,77000,96,74000,2300,800,九阳（Joyoung）,外观漂亮 水壶不错 使用方便 速度快 烧水时间短 东西不错 不锈钢很好 没有异味 保温功能好 烧水声音小,"九阳JYK-13F05A,880516,1.24kg,中国大陆",none,none,九阳JYK-13F05A
现代(HYUNDAI)养生壶煎药壶玻璃电水壶BD-YS1801白,现代厨电旗舰店,788934,798.00,99.00,56000,97,54000,1100,500,HYUNDAI,水壶不错 速度快 没有异味 烧水时间短 烧水声音小 保温功能好 不锈钢很好 使用方便 东西不错 一般,"HYUNDAIBD-YS1801,788934,2.1kg,中国大陆,2-4人,分体式,无,微电脑式,玻璃,1.2(含)L-1.5(含)L,养生壶,数码，指示灯,蒸，煮，炖，熬，涮，中药，甜品，保温，预约，火力调节",蒸，煮，炖，熬，涮，中药，甜品，保温，预约，火力调节,1.2(含)L-1.5(含)L,HYUNDAIBD-YS1801
【京仓发货】华生玻璃自动上水壶电茶盘保温电热水壶电子茶盘泡茶机茶具套装上水机烧水壶S17 棕色,华生家派专卖店,12045227203,499.00,199.00,300,96,300,6,7,华生（washon）,外观漂亮 烧水声音小 没有异味 东西不错 烧水时间短 水壶不错 速度快 还可以吧 使用方便,"【京仓发货】华生玻璃自动上水壶电茶盘保温电热水壶电子茶盘泡茶机茶具套装上水机烧水壶S17 棕色,12045227203, ,3.0kg,中国大陆,WS-S17,电茶炉,过热保护，自动断电，防干烧，电动出水，过滤，保温，自动上水，预设水温，显示水温,1L,耐高温玻璃",过热保护，自动断电，防干烧，电动出水，过滤，保温，自动上水，预设水温，显示水温,1.1升以下,【京仓发货】华生玻璃自动上水壶电茶盘保温电热水壶电子茶盘泡茶机茶具套装上水机烧水壶S17 棕色
金灶（KAMJOVE）全自动煮茶器 电茶炉黑茶电水壶养生壶 玻璃壶 A-99,金灶电水壶旗舰店,1676156851,300.00,265.00,2300,98,2200,20,20,金灶（KAMJOVE）,外观漂亮 水壶不错 使用方便 东西不错 没有异味 速度快 容量大 保温功能好 不锈钢很好 还可以吧,"金灶（KAMJOVE）全自动煮茶器 电茶炉黑茶电水壶养生壶 玻璃壶 A-99,1676156851, ,1.6kg,煮茶器,过热保护，自动断电，防干烧，过滤，保温，预设水温，显示水温,1L以下,耐高温玻璃",过热保护，自动断电，防干烧，过滤，保温，预设水温，显示水温,1.1升以下,金灶（KAMJOVE）全自动煮茶器 电茶炉黑茶电水壶养生壶 玻璃壶 A-99
金灶（KAMJOVE）全智能自动上水电热水壶泡茶电茶壶 全自动电茶炉 V7,金灶电水壶旗舰店,1587774830,380.00,285.00,2400,97,2400,20,40,金灶（KAMJOVE）,使用方便 水壶不错 外观漂亮 东西不错 速度快 烧水时间短 不锈钢很好 没有异味 烧水声音小 保温功能好 东西不错 保温功能好,"金灶（KAMJOVE）全智能自动上水电热水壶泡茶电茶壶 全自动电茶炉 V7,1587774830, ,2.2kg,电茶炉,过热保护，自动断电，防干烧，电动出水，保温，自动上水，预设水温，显示水温，智能续水,1L以下,单层不锈钢",过热保护，自动断电，防干烧，电动出水，保温，自动上水，预设水温，显示水温，智能续水,1.1升以下,金灶（KAMJOVE）全智能自动上水电热水壶泡茶电茶壶 全自动电茶炉 V7
苏泊尔（SUPOR)电水壶SWF17E18B双层防烫保温,苏泊尔官方旗舰店,1801460,299.00,89.00,34000,97,33000,500,200,苏泊尔（SUPOR）,外观漂亮 水壶不错 容量大 使用方便 速度快 东西不错 不锈钢很好 烧水时间短 没有异味 保温功能好 外观漂亮 容量大 不锈钢很好 外观漂亮 不锈钢很好 烧水时间短 速度快 烧水声音小,"苏泊尔SWF17E18B,1801460,1.4kg,中国大陆,电热水壶,自动断电，防干烧,1.7L,外塑内钢",自动断电，防干烧,1.6-2.0升,苏泊尔SWF17E18B
苏泊尔（SUPOR)电水壶电热水壶SWF15P1S-150,苏泊尔官方旗舰店,1285328,139.00,89.00,20000,96,20000,500,200,苏泊尔（SUPOR）,水壶不错 使用方便 不锈钢很好 速度快 东西不错 外观漂亮 没有异味 烧水时间短 烧水声音小 还可以吧 水壶不错 还可以吧,"苏泊尔SWF15P1S-150,1285328,0.97kg,中国大陆,电热水壶,自动断电，防干烧,1.5L",自动断电，防干烧,1.2-1.5升,苏泊尔SWF15P1S-150
新功（SEKO） 全自动上水电热水壶304不锈钢电水壶热水壶烧水壶自动上水电茶炉F90,地中海生活电器专营店,1549543888,468.00,284.00,2500,98,2400,20,20,新功（SEKO）,使用方便 水壶不错 东西不错 外观漂亮 速度快 不锈钢很好 烧水时间短 烧水声音小 没有异味 保温功能好 使用方便 烧水时间短 速度快 使用方便 东西不错,"新功（SEKO） 全自动上水电热水壶304不锈钢电水壶热水壶烧水壶自动上水电茶炉F90,1549543888, ,3.4kg,中国大陆,新功F90,电茶炉,过热保护，自动断电，防干烧，防倾倒防溢，电动出水，保温，自动上水，预设水温，显示水温，智能续水,1L以下,单层不锈钢",过热保护，自动断电，防干烧，防倾倒防溢，电动出水，保温，自动上水，预设水温，显示水温，智能续水,1.1升以下,新功（SEKO） 全自动上水电热水壶304不锈钢电水壶热水壶烧水壶自动上水电茶炉F90
利仁（Liven）电热水瓶3.6L 304不锈钢电水壶家用保温电热水壶烧水壶SP-A3600,利仁电器旗舰店,4245949,369.00,179.00,100,98,100,1,1,利仁（Liven）,使用方便 速度快 外观漂亮 容量大 保温功能好 烧水时间短 不锈钢很好 水壶不错 没有异味 烧水声音小 保温功能好 容量大 使用方便 外观漂亮 外观漂亮 烧水时间短 没有异味 水壶不错,"利仁SP-A3600,4245949,3.15kg,中国大陆,外塑内钢,防干烧，电动出水，保温,电热水瓶",防干烧，电动出水，保温,2.0升以上,利仁SP-A3600
金灶（KAMJOVE）智能温控茶艺炉电茶壶 自动加水器茶具烧水壶 T-300A,金灶电水壶旗舰店,1595218514,288.00,223.00,1200,97,1200,20,10,金灶（KAMJOVE）,外观漂亮 使用方便 水壶不错 东西不错 烧水时间短 速度快 没有异味 不锈钢很好 还可以吧 烧水声音小 不锈钢很好 烧水时间短 东西不错 外观漂亮 烧水声音小 速度快 不锈钢很好 东西不错 使用方便 没有异味 东西不错 外观漂亮,"金灶（KAMJOVE）智能温控茶艺炉电茶壶 自动加水器茶具烧水壶 T-300A,1595218514, ,3.0kg,自动断电",自动断电,1.1升以下,金灶（KAMJOVE）智能温控茶艺炉电茶壶 自动加水器茶具烧水壶 T-300A
