p_Name,shop_name,ProductID,price,PreferentialPrice,CommentCount,GoodRateShow,GoodCount,GeneralCount,PoorCount,brand,keyword,type,X_type,capacity,X_name
容威自动上水电热水壶烧水壶抽水壶茶具套装304不锈钢电水壶玻璃泡茶机保温电茶壶 黑色,容威电器旗舰店,1637825924,1199.00,158.00,500,98,500,9,2,容威（rongwei）,一般 烧水声音小 使用方便 还可以吧 保温功能好 烧水时间短 不锈钢很好 水壶不错 没有异味 外观漂亮,"容威自动上水电热水壶烧水壶抽水壶茶具套装304不锈钢电水壶玻璃泡茶机保温电茶壶 黑色,1637825924, ,2.5kg,中国大陆,JRF-T21,电茶炉,过热保护，自动断电，防干烧，电动出水，过滤，保温，自动上水，预设水温，显示水温,1L,单层不锈钢",过热保护，自动断电，防干烧，电动出水，过滤，保温，自动上水，预设水温，显示水温,1.1升以下,容威自动上水电热水壶烧水壶抽水壶茶具套装304不锈钢电水壶玻璃泡茶机保温电茶壶 黑色
飞利浦电热水壶HD9316 不锈钢烧水壶 1.7升 304不锈钢大容量恒定保温技术,飞利浦京汇专卖店,10920684500,266.00,168.00,300,98,300,4,4,飞利浦（PHILIPS）,东西不错 水壶不错 不锈钢很好 外观漂亮 烧水时间短 容量大 保温功能好 使用方便 一般 速度快,"飞利浦电热水壶HD9316 不锈钢烧水壶 1.7升 304不锈钢大容量恒定保温技术,10920684500, ,2.0kg,中国大陆,电热水壶,自动断电，保温,1.7L,单层不锈钢",自动断电，保温,1.6-2.0升,飞利浦电热水壶HD9316 不锈钢烧水壶 1.7升 304不锈钢大容量恒定保温技术
格来德（Grelide）电水壶304不锈钢PTC保温双层防烫1.7升D1701K1（淡蓝）,格来德官方旗舰店,3262435,199.00,59.00,22000,98,22000,200,100,格来德 （Grelide）,外观漂亮 水壶不错 容量大 东西不错 使用方便 保温功能好 不锈钢很好 速度快 烧水时间短 没有异味,"格来德D1701K1,3262435,1.35kg,江苏淮安,自动断电，防干烧，过滤，保温",自动断电，防干烧，过滤，保温,格来德D1701K1,格来德D1701K1
志高（CHIGO） 电水壶 全自动上水电热水壶 不锈钢自动上水电热水壶套装 8218 黑色(全自动),志高金杞专卖店,10338437183,268.00,178.00,700,94,600,20,10,志高（CHIGO）,东西不错 水壶不错 速度快 不锈钢很好 使用方便 外观漂亮 烧水时间短 没有异味 保温功能好 烧水声音小,"志高（CHIGO） 电水壶 全自动上水电热水壶 不锈钢自动上水电热水壶套装 8218 黑色(全自动),10338437183, ,3.0kg,中国大陆,8218,电茶炉,过热保护，自动断电，防干烧，防倾倒防溢，电动出水，自动上水，预设水温，显示水温，智能续水,1.2L,单层不锈钢",过热保护，自动断电，防干烧，防倾倒防溢，电动出水，自动上水，预设水温，显示水温，智能续水,1.2-1.5升,志高（CHIGO） 电水壶 全自动上水电热水壶 不锈钢自动上水电热水壶套装 8218 黑色(全自动)
艾美特 Airmate电水壶CS2041家用电热水瓶即热式速热电热水壶一键自动断电开水壶 黑色,艾美特佰事佳专卖店,12994276547,269.00,189.00,100,98,100,3,0,艾美特,东西不错 水壶不错 外观漂亮 不锈钢很好 使用方便 速度快 保温功能好 烧水时间短 没有异味 容量大 烧水时间短 外观漂亮 水壶不错 保温功能好 烧水声音小 速度快 东西不错,"艾美特 Airmate电水壶CS2041家用电热水瓶即热式速热电热水壶一键自动断电开水壶 黑色,12994276547, ,2.1kg,中国大陆,S2041J,电热水壶,过热保护，自动断电，防干烧，防倾倒防溢，保温，智能续水,1.8L以上,外塑内钢",过热保护，自动断电，防干烧，防倾倒防溢，保温，智能续水,1.6-2.0升,艾美特 Airmate电水壶CS2041家用电热水瓶即热式速热电热水壶一键自动断电开水壶 黑色
半球（Peskoe）电水壶食品级304不锈钢1.8L双层防烫电热水壶WZD715,半球厨电旗舰店,1038639,168.00,59.00,14000,98,14000,100,90,半球（Peskoe）,外观漂亮 水壶不错 使用方便 东西不错 容量大 速度快 没有异味 烧水时间短 不锈钢很好 保温功能好,"半球AN-182Y,1038639,1.03kg,中国大陆,WZD715,电热水壶,过热保护，自动断电，防干烧,1.8L,外塑内钢",过热保护，自动断电，防干烧,1.6-2.0升,半球AN-182Y
品高HQ1006C电水壶 304不锈钢热水壶双层防烫烧水壶家用开水壶1.7L大容量煮水壶 黑色,品高旗舰店,14611158653,399.00,199.00,20,95,10,1,0,品高（HQ）,使用方便 没有异味 外观漂亮 水壶不错 烧水时间短 容量大 保温功能好 不锈钢很好 速度快 烧水声音小 不锈钢很好 容量大 速度快 烧水声音小 烧水时间短,"品高HQ1006C电水壶 304不锈钢热水壶双层防烫烧水壶家用开水壶1.7L大容量煮水壶 黑色,14611158653, ,1.3kg,中国大陆,HQ1006C,电热水壶,自动断电，防干烧,1.7L,外塑内钢",自动断电，防干烧,1.6-2.0升,品高HQ1006C电水壶 304不锈钢热水壶双层防烫烧水壶家用开水壶1.7L大容量煮水壶 黑色
金灶（KAMJOVE）智能温控茶艺炉电茶壶 自动加水器茶具烧水壶 T-300A,金灶电水壶旗舰店,1595218514,288.00,-1.00,1200,97,1200,20,10,金灶（KAMJOVE）,外观漂亮 使用方便 水壶不错 东西不错 烧水时间短 速度快 没有异味 不锈钢很好 还可以吧 烧水声音小 不锈钢很好 烧水时间短 东西不错 外观漂亮 烧水声音小 速度快 不锈钢很好 东西不错 使用方便 没有异味 东西不错 外观漂亮,"金灶（KAMJOVE）智能温控茶艺炉电茶壶 自动加水器茶具烧水壶 T-300A,1595218514, ,3.0kg,自动断电",自动断电,1.1升以下,金灶（KAMJOVE）智能温控茶艺炉电茶壶 自动加水器茶具烧水壶 T-300A
容声（RONGSHENG） 电热水瓶 电水壶5L容量智能保温电热水壶双出水烧水壶 白色,富士宝电器专营店,17757163341,699.00,198.00,100,100,100,0,0,容声（RONGSHENG）,,"容声（RONGSHENG） 电热水瓶 电水壶5L容量智能保温电热水壶双出水烧水壶 白色,17757163341, ,3.45kg,中国大陆,RS-8988A,电热水瓶,过热保护，自动断电，防干烧，电动出水，除氯，保温，预设水温，显示水温,1L以下",过热保护，自动断电，防干烧，电动出水，除氯，保温，预设水温，显示水温,2.0升以上,容声（RONGSHENG） 电热水瓶 电水壶5L容量智能保温电热水壶双出水烧水壶 白色
澳柯玛（AUCMA）ADK-1350H23 不锈钢自动上水电水壶茶具套装,澳柯玛厨电旗舰店,1334510,299.00,99.00,19000,97,18000,300,200,澳柯玛（AUCMA）,使用方便 水壶不错 外观漂亮 东西不错 速度快 烧水时间短 不锈钢很好 没有异味 还可以吧 烧水声音小,"澳柯玛ADK-1350H23,1334510,2.1kg,中国大陆,防干烧",防干烧,1.1升以下,澳柯玛ADK-1350H23
容声（Ronshen） 电热水瓶304不锈钢电水壶5L容量家用电水瓶7556d 咖啡色,容声徽煌专卖店,11338843436,259.00,219.00,100,98,100,1,1,容声（Ronshen）,烧水声音小 容量大 水壶不错 外观漂亮 速度快 保温功能好 东西不错,"容声（Ronshen） 电热水瓶304不锈钢电水壶5L容量家用电水瓶7556d 咖啡色,11338843436, ,3.55kg,中国大陆,容声-7556D咖啡,电热水瓶,电动出水，保温,1.8L以上,双层不锈钢",电动出水，保温,1.8L以上,容声（Ronshen） 电热水瓶304不锈钢电水壶5L容量家用电水瓶7556d 咖啡色
飞利浦（PHILIPS）电水壶 食品级304不锈钢1.7L大容量保温型 HD9330/50,飞利浦厨房电器旗舰店,1786579,399.00,299.00,6300,99,6200,80,20,飞利浦（PHILIPS）,外观漂亮 水壶不错 速度快 使用方便 保温功能好 不锈钢很好 烧水时间短 东西不错 容量大 没有异味 没有异味 不锈钢很好,"飞利浦HD9330/50,1786579,1.46kg,中国大陆,自动断电，防干烧，保温",自动断电，防干烧，保温,1.6-2.0升,飞利浦HD9330/50
