p_Name,shop_name,ProductID,price,PreferentialPrice,CommentCount,GoodRateShow,GoodCount,GeneralCount,PoorCount,brand,keyword,type,X_type
戴森(Dyson) 吸尘器 V6 ANIMAL+手持吸尘器家用除螨无线,戴森官方旗舰店,4838732,2991.00,2990.00,500,99,500,5,1,DYSON,吸力很大 吸尘很干净 吸尘器不错 外观漂亮 小巧轻便 吸力持久 打扫干净 配件齐全 吸头很多 刷头多样 吸尘器不错 刷头多样 小巧轻便 吸力很大,"DYSONDYSON V6 ANIMAL+,4838732,4.43kg,马来西亚,地板，地毯，瓷砖，厨房，沙发，床铺，汽车,水洗滤网，旋风过滤，除螨,无线吸尘器,充电式（无线）,500W以下,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头，其他",电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头，其他
飞利浦(PHILIPS)吸尘器FC8760/81家用无尘袋大功率(酒红色),飞利浦品牌旗舰店,729221,1000.00,899.00,48000,98,47000,600,400,飞利浦（PHILIPS）,吸力很大 电源线够长 功率大 吸尘器不错 吸尘很干净 质量不错 打扫干净 使用方便 噪音小 吸力持久 小巧轻便 外观漂亮 吸力很大 质量不错 配件齐全 吸尘器不错 功率大,"飞利浦FC8760/81,729221,9.87kg,中国大陆,地板，地毯，瓷砖，厨房，沙发，床铺,水洗尘杯，旋风过滤,卧式吸尘器,电源式（5米-10米）,1800w及以上,地面吸头，缝隙吸头，小吸头",地面吸头，缝隙吸头，小吸头
戴森(Dyson) 吸尘器 V7 FLUFFY手持吸尘器家用除螨无线,戴森官方旗舰店,4838712,3691.00,3690.00,900,98,900,10,8,DYSON,外观漂亮 使用方便 吸尘很干净 吸力很大 打扫干净 吸尘器不错 小巧轻便 质量不错 刷头多样 配件齐全,"DYSONDYSON V7 FLUFFY,4838712,4.65kg,马来西亚,地板，地毯，瓷砖，厨房，沙发，床铺，汽车,水洗滤网，旋风过滤，除螨,无线吸尘器,充电式（无线）,500W以下,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头",电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头
美的（Midea）吸尘器C3-L148B家用无耗材卧式吸尘器,美的吸尘器旗舰店,1312738,499.00,309.00,49000,97,48000,700,400,美的（Midea）,吸力很大 吸尘器不错 吸尘很干净 使用方便 质量不错 打扫干净 电源线够长 功率大 吸头很多 小巧轻便,"美的C3-L148B,1312738,6.86kg,中国大陆,地板，地毯，瓷砖，厨房，床铺,水洗尘杯，旋风过滤,卧式吸尘器,电源式（5米-10米）,1000w-1399w,地面吸头，扁嘴吸头，毛刷吸头",地面吸头，扁嘴吸头，毛刷吸头
戴森(Dyson) 吸尘器 V8 Absolute手持吸尘器家用除螨无线,戴森官方旗舰店,3095401,5490.00,4990.00,3500,98,3400,30,30,DYSON,吸尘很干净 外观漂亮 使用方便 吸力很大 打扫干净 吸尘器不错 质量不错 小巧轻便 刷头多样 吸头很多,"DYSONV8 Absolute,3095401,5.46kg,马来西亚,地板，地毯，瓷砖，厨房，沙发，床铺，汽车,水洗滤网，旋风过滤，除螨,无线吸尘器,充电式（无线）,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头，其他",电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头，其他
小狗（puppy） 小型静音除螨大功率家用吸尘器D-9005  ,小狗电器官方旗舰店,1351586523,799.00,799.00,47000,98,46000,500,200,小狗（puppy）,吸尘器不错 吸力很大 质量不错 吸尘很干净 电源线够长 使用方便 打扫干净 功率大 噪音小 吸头很多 吸力持久 小巧轻便 吸尘很干净 易收纳 打扫干净 尘杯容量大 吸力很大 刷头多样 质量不错,"小狗（puppy） 小型静音除螨大功率家用吸尘器D-9005  ,1351586523, ,8.9kg,中国大陆,D-9005,地板，地毯，瓷砖，厨房，沙发，床铺，酒店,水洗尘杯，水洗滤网，旋风过滤，除螨,卧式吸尘器,电源式（5米-10米）,1400w-1799w,床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头",床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头
戴森(Dyson) 卧式家用无尘袋圆筒吸尘器 cinetic big ball (CY22),戴森官方旗舰店,3757473,4990.00,4990.00,200,97,200,8,1,DYSON,电源线够长 质量不错 吸力很大 吸尘很干净 吸头很多 吸力持久 打扫干净 尘杯容量大 刷头多样 吸尘器不错 吸尘器不错 不易缠发 吸头很多 使用方便 吸尘很干净,"戴森CY22,3757473,11.2kg,马来西亚,地板，地毯，瓷砖，厨房，沙发，床铺,旋风过滤，除螨,卧式吸尘器,电源式（5米-10米）,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头，其他",电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头，其他
小狗（puppy）家用无线无绳手持立式充电小型吸尘器D-531,小狗电器官方旗舰店,10126937869,999.00,999.00,17000,98,16000,100,100,小狗（puppy）,使用方便 吸尘器不错 质量不错 吸尘很干净 打扫干净 小巧轻便 外观漂亮 吸力很大 噪音小 易收纳 外观漂亮 不易缠发 打扫干净 节能电机 吸尘器不错,"小狗（puppy）家用无线无绳手持立式充电小型吸尘器D-531,10126937869, ,3.0kg,中国大陆,D-531,地板，地毯，瓷砖，厨房，沙发，床铺，汽车，酒店,水洗尘杯，水洗滤网，旋风过滤，除螨,无线吸尘器,充电式（无线）,500W以下,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头",电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头
飞利浦（PHILIPS）吸尘器FC6162/81无绳充电式手持立式二合一,飞利浦品牌旗舰店,1077571,1200.00,1199.00,11000,98,10000,100,80,飞利浦（PHILIPS）,使用方便 质量不错 吸尘器不错 吸尘很干净 打扫干净 小巧轻便 外观漂亮 噪音小 吸力很大 配件齐全 易收纳 外观漂亮 打扫干净 质量不错 噪音小 配件齐全,"飞利浦FC6162/81,1077571,4.33kg,广东珠海,地板，地毯，瓷砖，厨房，沙发，床铺,水洗尘杯，水洗滤网，旋风过滤,立式/手持吸尘器,充电式（无线）,地面吸头，缝隙吸头",地面吸头，缝隙吸头
小狗（puppy）小型手持床铺除螨机除螨仪家用吸尘器D-607,小狗电器自营旗舰店,2963900,499.00,299.00,56000,99,55000,500,200,小狗（puppy）,吸尘器不错 使用方便 小巧轻便 外观漂亮 吸尘很干净 电源线够长 质量不错 吸力很大 打扫干净 噪音小,"小狗D-607,2963900,1.89kg,江苏省-苏州市,D-607,沙发，床铺,水洗尘杯，水洗滤网，除螨,除螨仪,电源式（5米以下）,500W以下,其他",其他
