p_Name,shop_name,ProductID,price,PreferentialPrice,CommentCount,GoodRateShow,GoodCount,GeneralCount,PoorCount,brand,keyword,type,Y_type
"
                                    美的（Midea）FS40-13GR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇                ",美的绿灯侠专卖店,10913792973,269.00,209.00,9800,98,9600,100,100,美的（Midea）,质量不错 风扇不错 风力很大 安装方便 噪音很小 使用方便 造型美观 遥控方便 安全节能 底座很稳,"美的（Midea）FS40-13GR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇,10913792973, ,5.5kg,FS40-13GR,2-8小时,三档调节,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",none
"
                                    美的（Midea）FS40-13CR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇美的 黑色                ",美的环境电器旗舰店,11533566845,289.00,209.00,6500,98,6300,90,80,美的（Midea）,噪音很小 风力很大 底座很稳 安全节能 扇网坚固 远程遥控 造型美观 风很柔和 颜色漂亮 电机好,"美的（Midea）FS40-13CR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇美的 黑色,11533566845, ,8.3kg,中国大陆,FS40-13CR,2-8小时,三档调节,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",none
"
                                    艾美特(Airmate) FS40103R 五叶遥控落地扇/电风扇                ",艾美特生活电器旗舰店,3918861,599.00,269.00,24000,97,23000,500,300,艾美特（AIRMATE）,遥控方便 风扇不错 安装方便 风很柔和 噪音很小 造型美观 使用方便 颜色漂亮 远程遥控 风力很大 底座很稳 睡眠风不错 噪音很小 风力很大 风扇不错 颜色漂亮 遥控方便 质量不错 风很柔和 造型美观,"艾美特FS40103R,3918861,7.7kg,中国,2-8小时,三档调节,正常风,5片,1级,遥控式,落地扇",none
"
                                    华生（Wahson）FS35-C401 电风扇/落地扇/风扇                ",华生旗舰店,4575098,199.00,119.00,26000,97,25000,500,300,华生（Wahson）,风扇不错 安装方便 质量不错 风力很大 使用方便 噪音很小 造型美观 底座很稳 风很柔和 颜色漂亮,"华生FS35-C401,4575098,5.48kg,广东,FS112-35C,无定时,三档调节,正常风,5片,3级,机械式,落地扇",none
"
                                    荣事达（Royalstar）遥控五风叶电风扇/落地扇/五扇叶可升降落地扇JD17Z                ",荣事达（Royalstar）两季品旗舰店,2495894,269.00,139.00,52000,95,50000,1500,900,荣事达（Royalstar）,遥控方便 风扇不错 安装方便 使用方便 质量不错 风力很大 远程遥控 噪音很小 底座很稳 风很柔和,"荣事达FD-40L92（货号：JD17Z）,2495894,6.22kg,中国大陆,JD17Z,2-8小时,三档调节,正常风,5片,2级,遥控式,落地扇",none
"
                                    戴森(Dyson) TP00空气净化风扇/电风扇/塔扇 净化PM0.1和甲醛+强劲气流 循环室内空气 铁蓝                ",戴森官方旗舰店,4840276,4691.00,4690.00,500,96,500,8,10,DYSON,质量不错 颜色漂亮 安全节能 风力很大 安装方便 造型美观 扇网坚固 电机好 遥控方便 底座很稳 质量不错 造型美观 风很柔和 噪音很小 颜色漂亮 风力很大 造型美观 电机好 遥控方便,"DYSONTP00铁蓝,4840276,6.16kg,马来西亚,308775-01,8小时以上,五档以上,正常风、自然风、睡眠风,无叶,无,遥控式,落地扇，塔扇，空气循环扇",none
"
                                    戴森(Dyson) TP03空气净化风扇/电风扇/塔扇 净化PM0.1和甲醛+强劲气流 循环空气 塔式智能 银白                ",戴森官方旗舰店,4840262,5191.00,5190.00,200,97,200,4,2,DYSON,安全节能 风扇不错 颜色漂亮 造型美观 安装方便 扇网坚固 使用方便 遥控方便 睡眠风不错 底座很稳 广角送风 适合宝宝 风扇不错 远程遥控 安全节能,"DYSONTP03白银,4840262,5.82kg,马来西亚,308045-01,8小时以上,五档以上,正常风、自然风、睡眠风,无叶,无,APP控制,落地扇，塔扇，空气循环扇",none
"
                                    美的（Midea）塔扇 风扇 落地扇电风扇 静音预约定时                ",美的小家电旗舰店,10329448645,699.00,499.00,1300,96,1200,30,20,美的（Midea）,造型美观 风力很大 质量不错 风扇不错 噪音很小 使用方便 遥控方便 广角送风 颜色漂亮 远程遥控,"美的（Midea）塔扇 风扇 落地扇电风扇 静音预约定时,10329448645, ,7.8kg,中国大陆,21056110000151（FZ10-16BRW）,8小时以上,五档以上,正常风,无叶,3级,遥控式,塔扇",none
"
                                    钻石牌（DIAMOND）FS－40ⅡF 五叶落地扇/电风扇静音16寸四档调速 黑色                ",钻石牌非凡专卖店,11846057188,209.00,149.00,800,95,800,20,10,钻石牌（DIAMOND）,质量不错 安装方便 使用方便 噪音很小 风力很大 风很柔和 风扇不错 底座很稳 扇网坚固 电机好,"钻石牌（DIAMOND）FS－40ⅡF 五叶落地扇/电风扇静音16寸四档调速 黑色,11846057188, ,7.0kg,中国大陆,FS-40II F,2小时以下,四档调节,正常风、自然风、睡眠风,5片,2级,机械式,落地扇",none
"
                                    格力(GREE)风扇 台式电风扇鸿运扇转页扇小风扇迷你宿舍台扇定时五叶风扇KYT-2501 浅灰色                ",格力智购专卖店,12401990604,199.00,99.00,1400,96,1400,20,20,格力（GREE）,噪音很小 使用方便 风很柔和 风扇不错 质量不错 睡眠风不错 造型美观 电机好 颜色漂亮 风力很大,"格力(GREE)风扇 台式电风扇鸿运扇转页扇小风扇迷你宿舍台扇定时五叶风扇KYT-2501 浅灰色,12401990604, ,2.6kg,中国大陆,KYT-2501,2小时以下,四档调节,正常风、自然风、睡眠风,5片,1级,机械式,转页扇",none
"
                                    美的（Midea）FZ10-15BRW 塔扇无叶风扇电风扇遥控家用静音立式风扇                ",美的环境电器旗舰店,10988055671,399.00,349.00,4800,98,4700,60,70,美的（Midea）,噪音很小 风很柔和 造型美观 安全节能 风力很大 底座很稳 颜色漂亮 远程遥控 扇网坚固 电机好,"美的（Midea）FZ10-15BRW 塔扇无叶风扇电风扇遥控家用静音立式风扇,10988055671, ,4.1kg,中国大陆,FZ10-15BRW,2-8小时,三档调节,正常风、自然风、睡眠风,无叶,1级,遥控式,塔扇",none
"
                                    日彩（RICAI）FS-40-AR1603家用床头定时落地扇 节能立式办公室静音电风扇 黑色                ",日彩旗舰店,12880202279,169.00,88.00,5600,96,5400,100,100,日彩（ricai）,质量不错 风力很大 风扇不错 安装方便 使用方便 底座很稳 风很柔和 噪音很小 造型美观 安全节能 使用方便 风力很大 电机好 安全节能 睡眠风不错,"日彩（RICAI）FS-40-AR1603家用床头定时落地扇 节能立式办公室静音电风扇 黑色,12880202279, ,8.9kg,中国大陆,2小时以下,三档调节,正常风,5片,1级,机械式,落地扇",none
"
                                    奥克斯（AUX）FS-40-A1613 电风扇/五扇叶落地扇 蓝色扇叶                ",奥克斯盛世专卖店,11686769351,199.00,129.00,800,93,800,30,20,奥克斯（AUX）,质量不错 安装方便 风力很大 扇网坚固 电机好 风很柔和 风扇不错 安全节能 使用方便 颜色漂亮 质量不错 安全节能 安全节能 扇网坚固 扇网坚固 安全节能,"奥克斯（AUX）FS-40-A1613 电风扇/五扇叶落地扇 蓝色扇叶,11686769351, ,6.3kg,无定时,三档调节,正常风,5片,无,机械式,落地扇",none
"
                                    先锋（Singfun）可定时落地立式冷风扇厨房卧室遥控静音大风力电风扇落地扇 DD1312遥控5叶                ",先锋生活电器旗舰店,10225600578,498.00,159.00,3600,95,3400,90,60,先锋,风扇不错 质量不错 风力很大 安装方便 使用方便 遥控方便 噪音很小 远程遥控 造型美观 底座很稳,"先锋（Singfun）可定时落地立式冷风扇厨房卧室遥控静音大风力电风扇落地扇 DD1312遥控5叶,10225600578, ,6.7kg,0101DD1312-1,2-8小时,三档调节,正常风,5片,1级,遥控式,落地扇",none
