CommentCount,GoodRateShow,GoodCount,F_type,price,GeneralCount,brand,p_Name,PreferentialPrice,PoorCount,shop_name,X_type,type,keyword,ProductID,Y_type
260000,95,250000,落地扇,329.00,6700,美的（Midea）,美的（Midea）FS40-13ER 五叶遥控落地扇/电风扇,219.00,4200,美的两季品旗舰店,none,"美的FS40-13ER,1069555,8.5kg,中国大陆,2-8小时,三档调节,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",遥控方便 安装方便 风扇不错 风力很大 质量不错 使用方便 噪音很小 底座很稳 风很柔和 睡眠风不错 质量不错 远程遥控 安全节能 风力很大 噪音很小,1069555,none
37000,97,36000,落地扇,299.00,600,格力（GREE）,格力（GREE）FD-40X64Bh5  五叶遥控落地扇/电风扇,208.00,400,格力生活电器旗舰店,none,"格力FD-40X64Bh5,3899679,7.3kg,中国大陆,2-8小时,三档调节,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",风扇不错 安装方便 质量不错 遥控方便 噪音很小 底座很稳 造型美观 使用方便 风力很大 远程遥控 风很柔和 风力很大 噪音很小 广角送风 安装方便,3899679,none
180000,96,170000,落地扇，空气循环扇,239.00,5600,奥克斯（AUX）,奥克斯（AUX）FS-40-A1613 电风扇/酷黑五扇叶落地扇,109.00,2600,奥克斯电风扇旗舰店,none,"奥克斯FS-40-A1613,1058010,6.6kg,中国大陆,三档调节,正常风,5片,1级,机械式,落地扇，空气循环扇",风扇不错 安装方便 风力很大 质量不错 使用方便 底座很稳 造型美观 风很柔和 安全节能 颜色漂亮 遥控方便 使用方便 安装方便 底座很稳,1058010,none
19000,94,18000,塔扇,799.00,700,艾美特（AIRMATE）,艾美特(Airmate) FT41R 遥控塔扇/电风扇,349.00,400,艾美特生活电器旗舰店,none,"艾美特FT41R,4533788,5.26kg,中国,2-8小时,三档调节,正常风,无叶,无,遥控式,塔扇",造型美观 安装方便 遥控方便 风很柔和 使用方便 风扇不错 质量不错 噪音很小 颜色漂亮 远程遥控,4533788,none
75000,97,73000,落地扇,319.00,1600,美的（Midea）,美的（Midea）FS40-13C 五叶落地扇/电风扇,189.00,900,美的两季品旗舰店,none,"美的FS40-13C,1077868,8.56kg,中国大陆,2小时以下,三档调节,正常风,5片,1级,机械式,落地扇",风扇不错 质量不错 安装方便 风力很大 噪音很小 使用方便 底座很稳 风很柔和 电机好 声音小,1077868,none
6000,98,5900,none,3599.00,50,惠人（HUROM）,惠人（HUROM）HU26RG3L 原汁机低速榨汁机家用多功能新三代,2598.00,70,HUROM/惠人官方旗舰店,none,"惠人HU26RG3L,2770990,9.11kg,韩国,榨汁，豆腐，冰淇淋奶昔，豆浆，其他,0-50转/分,按键式,原汁机",榨汁速度快 声音小 榨汁很好 好清洗 东西不错 速度快 料理机很好 还可以吧 果汁细腻 出汁率很高,2770990,原汁机
48000,98,47000,none,1000.00,600,飞利浦（PHILIPS）,飞利浦(PHILIPS)吸尘器FC8760/81家用无尘袋大功率(酒红色),799.00,400,飞利浦品牌旗舰店,地面吸头，缝隙吸头，小吸头,"飞利浦FC8760/81,729221,9.87kg,中国大陆,地板，地毯，瓷砖，厨房，沙发，床铺,水洗尘杯，旋风过滤,卧式吸尘器,电源式（5米-10米）,1800w及以上,地面吸头，缝隙吸头，小吸头",吸力很大 电源线够长 功率大 吸尘器不错 吸尘很干净 质量不错 打扫干净 使用方便 噪音小 吸力持久 小巧轻便 外观漂亮 吸力很大 质量不错 配件齐全 吸尘器不错 功率大,729221,卧式吸尘器
340000,96,320000,落地扇,299.00,8700,艾美特（AIRMATE）,艾美特(Airmate) FSW52R 遥控落地扇/电风扇,239.00,4000,艾美特生活电器旗舰店,none,"艾美特FSW52R,595936,6.82kg,中国,2-8小时,三档调节,正常风,3片,1级,遥控式,落地扇",风扇不错 安装方便 遥控方便 质量不错 噪音很小 使用方便 风力很大 风很柔和 远程遥控 底座很稳 颜色漂亮 安装方便 遥控方便 风很柔和 质量不错,595936,none
16000,98,16000,none,6880.00,100,惠人（HUROM）,惠人（HUROM）HUZK24FR升级版原汁机低速榨汁机HUZK24WNM,1998.00,100,HUROM/惠人官方旗舰店,none,"惠人HUZK24FR,1676728,8.28kg,韩国,榨汁，豆腐，冰淇淋奶昔，豆浆,0-50转/分,按键式,原汁机",榨汁很好 出汁率很高 果汁细腻 使用方便 好清洗 声音小 榨汁速度快 东西不错 速度快 料理机很好,1676728,原汁机
900,98,900,none,3691.00,10,DYSON,戴森(Dyson) 吸尘器 V7 FLUFFY手持吸尘器家用除螨无线,3690.00,7,戴森官方旗舰店,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头,"DYSONDYSON V7 FLUFFY,4838712,4.65kg,马来西亚,地板，地毯，瓷砖，厨房，沙发，床铺，汽车,水洗滤网，旋风过滤，除螨,无线吸尘器,充电式（无线）,500W以下,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头",外观漂亮 使用方便 吸尘很干净 吸力很大 打扫干净 吸尘器不错 小巧轻便 质量不错 刷头多样 配件齐全,4838712,无线吸尘器
150000,96,140000,落地扇,239.00,4500,格力（GREE）,格力（GREE）FD-4013JD 机械式落地扇/电风扇,139.00,1700,格力生活电器旗舰店,none,"格力FD-4013JD,603496,6.9kg,中国大陆,2小时以下,三档调节,正常风,3片,1级,机械式,落地扇",风扇不错 安装方便 质量不错 风力很大 噪音很小 使用方便 底座很稳 风很柔和 声音小 电机好 风力很大 质量不错 安装方便 小清新 厚重耐磨 电机好 使用方便 风扇不错 底座很稳 安装方便 扇网坚固 底座很稳,603496,none
21000,100,21000,none,2399.00,40,奥克斯（AUX）,奥克斯(AUX)936 破壁料理机加热家用果汁机榨汁机辅食机原汁机豆浆机搅拌机 破壁机变频,1780.00,10,奥克斯厨房小电旗舰店,none,"奥克斯(AUX)936 破壁料理机加热家用果汁机榨汁机辅食机原汁机豆浆机搅拌机 破壁机变频,1766038083, ,9.0kg,中国大陆,AP001,25000转/分及以上,3-5人,料理/辅食机,八档以上,塑料,搅拌，榨汁，碎肉，研磨，和面，打蛋，碎冰，五谷类粉,触摸式",使用方便 东西不错 料理机很好 果汁细腻 好清洗 速度快 榨汁很好 榨汁速度快 出汁率很高 声音小 好清洗 榨汁速度快 果汁细腻 使用方便 榨汁很好 果汁细腻,1766038083,料理/辅食机
