评论数,差评,售价,标价,型号,商品ID,品牌,商品名称,关键字,好评,中评,好评率,商铺名称
260000,4100,219,329,"美的FS40-13ER,1069555,8.5kg,中国大陆,2-8小时,三档调节,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",1069555,美的（Midea）,美的（Midea）FS40-13ER 五叶遥控落地扇/电风扇,遥控方便 安装方便 风扇不错 风力很大 质量不错 使用方便 噪音很小 底座很稳 风很柔和 睡眠风不错 质量不错 远程遥控 安全节能 风力很大 噪音很小,250000,6600,95,美的两季品旗舰店
34000,300,208,299,"格力FD-40X64Bh5,3899679,7.3kg,中国大陆,2-8小时,三档调节,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",3899679,格力（GREE）,格力（GREE）FD-40X64Bh5  五叶遥控落地扇/电风扇,风扇不错 安装方便 质量不错 遥控方便 噪音很小 底座很稳 造型美观 使用方便 风力很大 远程遥控 风很柔和 风力很大 噪音很小 广角送风 安装方便,33000,500,97,格力生活电器旗舰店
170000,2500,109,239,"奥克斯FS-40-A1613,1058010,6.6kg,中国大陆,三档调节,正常风,5片,1级,机械式,落地扇，空气循环扇",1058010,奥克斯（AUX）,奥克斯（AUX）FS-40-A1613 电风扇/酷黑五扇叶落地扇,风扇不错 安装方便 风力很大 质量不错 使用方便 底座很稳 造型美观 风很柔和 安全节能 颜色漂亮 遥控方便 使用方便 安装方便 底座很稳,160000,5500,96,奥克斯电风扇旗舰店
17000,300,299,799,"艾美特FT41R,4533788,5.26kg,中国,2-8小时,三档调节,正常风,无叶,无,遥控式,塔扇",4533788,艾美特（AIRMATE）,艾美特(Airmate) FT41R 遥控塔扇/电风扇,造型美观 安装方便 遥控方便 风很柔和 使用方便 风扇不错 质量不错 颜色漂亮 噪音很小 远程遥控,16000,600,94,艾美特生活电器旗舰店
73000,900,189,319,"美的FS40-13C,1077868,8.56kg,中国大陆,2小时以下,三档调节,正常风,5片,1级,机械式,落地扇",1077868,美的（Midea）,美的（Midea）FS40-13C 五叶落地扇/电风扇,风扇不错 质量不错 安装方便 风力很大 噪音很小 使用方便 底座很稳 风很柔和 电机好 声音小,71000,1500,97,美的两季品旗舰店
330000,4000,179,299,"艾美特FSW52R,595936,6.82kg,中国,2-8小时,三档调节,正常风,3片,1级,遥控式,落地扇",595936,艾美特（AIRMATE）,艾美特(Airmate) FSW52R 遥控落地扇/电风扇,风扇不错 安装方便 遥控方便 质量不错 噪音很小 使用方便 风力很大 风很柔和 远程遥控 底座很稳 颜色漂亮 安装方便 遥控方便 风很柔和 质量不错,320000,8700,96,艾美特生活电器旗舰店
180000,2400,189,309,"艾美特FSW65T2-5,829764,6.82kg,中国,2小时以下,三档调节,正常风,5片,1级,机械式,落地扇",829764,艾美特（AIRMATE）,艾美特(Airmate) FSW65T2-5 五叶落地扇/电风扇,风扇不错 质量不错 安装方便 风力很大 使用方便 噪音很小 底座很稳 风很柔和 造型美观 安全节能 风力很大 风很柔和 底座很稳 使用方便 安全节能,170000,5600,96,艾美特生活电器旗舰店
150000,1700,148,239,"格力FD-4013JD,603496,6.9kg,中国大陆,2小时以下,三档调节,正常风,3片,1级,机械式,落地扇",603496,格力（GREE）,格力（GREE）FD-4013JD 机械式落地扇/电风扇,风扇不错 安装方便 质量不错 风力很大 噪音很小 使用方便 底座很稳 风很柔和 声音小 电机好 风力很大 质量不错 安装方便 小清新 厚重耐磨 电机好 使用方便 风扇不错 底座很稳 安装方便 扇网坚固 底座很稳,140000,4500,96,格力生活电器旗舰店
1600,10,3390,4691,"戴森AM07,1182248,5.14kg,马来西亚,8小时以上,五档以上,正常风，正常风、自然风，正常风、自然风、睡眠风,落地扇，塔扇,遥控式,无叶",1182248,DYSON,戴森(Dyson) AM07白银 落地式无叶电风扇/塔扇,造型美观 风很柔和 风扇不错 质量不错 遥控方便 噪音很小 安装方便 安全节能 风力很大 颜色漂亮,1600,30,97,戴森官方旗舰店
99000,1400,109,199,"先锋DD1701,3998821,5.84kg,浙江宁波,DD1701(DLD-D1),无定时,三档调节,正常风,5片,2级,机械式,落地扇",3998821,先锋（SINGFUN）,先锋（Singfun）大风量电风扇/落地扇 DD1701,风力很大 安装方便 风扇不错 质量不错 使用方便 底座很稳 造型美观 噪音很小 颜色漂亮 安全节能 噪音很小 安装方便 质量不错 风力很大 广角送风,94000,2700,96,先锋两季品旗舰店
