title,ask,answer,content,time_now,user,href
西门子洗碗机的超快洗和预冲洗,"论坛里有人知道，西门子SN25M831TI的超快洗功能和预冲洗有什么区别？以前用了一台西门子洗碗机，经常使用预冲洗，因为家里人少，所以经常是每天用的碗先使用预冲洗，然后累计2-3天的量以后再跑一个完整的循环，之前那台是嵌入式的，卖房子的时候一起卖掉了，现在想买一台独立式的（因为是精装修的房子），看了很多，发现有预冲洗功能的独立式的全尺寸很少，这个超快洗最后进不进行烘干？能不能代替原来那个预冲洗？原来那个预冲洗２０分钟，这个多长时间？或者可以推荐其他的型号，预算８０００以内。,提前谢谢回复",,,2016/7/26 12:33,linky_tang,https://www.jdbbs.com/thread-7721855-1-1.html
,,,关注,2016/7/26 13:07,lugangqiang,
,,,有预冲洗的,2017/11/9 15:48,wjrsnl,
,,,"超快洗，就是时间很短，一个小时洗完，也烘干。,就是用的水和电多点，因为温度用高点的，水用强点，不泡一会，直接强力洗。赶时间才用。",2017/11/9 17:06,gzmino,
西门子洗碗机质量真一般,"2015年底购买西门子洗碗机SC73m610TI，2016年安装使用，2017年出现故障，正常工作一分钟后，显示静态水龙头标示，时间显示1:00，接着变成E:14，机器停止工作，经维修人员检查，判断可能是水量传感器坏了，换了配件以后恢复正常。总计花费：传感器65，盖子15,上门费60,维修费70,合计210。,开始看到E:14标示，网上搜索后发现有用户经历过此故障代码，说是电脑板坏了，心里一阵拔凉，后来我家洗碗机说是水量传感器坏了，一个火柴盒一样很小很小的塑料盒子，里面有个小电子件。洗碗机是西班牙制造，使用频率也不高，都是按章操作，这么快就坏了电子元件，真的没想到。感觉质量一般。",,,2017/10/24 20:16,菊与刀,https://www.jdbbs.com/thread-8372834-1-1.html
,,,原产国西班牙,2017/10/24 22:40,STRIKER999,
,,,白电这东西还是日系靠谱，我家松下洗碗机不知用了几年了，没出现过问题,2017/10/24 23:06,lovexx,
,,,电器就是要经久耐用，这样确实不是太给力！,2017/11/1 14:37,挪夫尼,
,,,西门子。13年退出全球家电市场，全部转手博西，现在就是安徽小作坊贴牌的渣渣或~只剩下机床在全球苟延残喘，但还是被日本发那科打得屁滚尿流哈哈,2017/11/5 12:07,STRIKER999,
请问各位大大，洗碗机专用洗碗粉可以用食用碱代替吗,同上，刚刚入手了洗碗机,,,2017/10/24 12:55,paopaoyan,https://www.jdbbs.com/thread-8372597-1-1.html
,,,当然,2017/10/24 13:07,STRIKER999,
,,,"当然能还是不能?,洗碗粉可是不小的一笔开销.",2017/10/24 15:45,qqings,
,,,小苏打，放心没问题的，用几次后还是用一次max洗碗块，这样能更好的保持机身自身内部清洁。,2017/10/24 19:47,穴菌昌夫,
,,,"小苏打可以,不过没意义- -,建议是 allinone 块 - -",2017/10/24 21:05,Scrooge,
,,,谢谢大家，那洗碗机专用盐可以用普通的软水盐替代吗？,2017/10/25 9:16,paopaoyan,
,,,有便宜的副厂,2017/10/25 9:23,pc晓飞,
,,,"从碱性上说,小苏打水解显弱碱性,纯碱水解显碱性,用是可以用，但效果不同。",2017/10/25 9:54,yangsirhc,
,,,洗碗粉可以用食用碱替代，这两种我都使用过，觉得没什么区别。洗碗机专用盐也没必要买，就用软水盐即可。,2017/10/25 11:52,pesticide,
,,,恩恩，谢谢楼上各位的解答,2017/10/25 14:26,paopaoyan,
,,洗碗粉可以用食用碱替代，这两种我都使用过，觉得没什么区别。洗碗机专用盐也没必要买，就用软水盐即可。,谢谢，明白了,2017/10/25 14:26,paopaoyan,
,,洗碗粉可以用食用碱替代，这两种我都使用过，觉得没什么区别。洗碗机专用盐也没必要买，就用软水盐即可。,明白啦，谢谢,2017/10/25 14:27,paopaoyan,
,,,哪一款呢？,2017/10/28 13:31,wjrsnl,
,,,"本帖最后由 mylovepzq 于 2017-10-28 13:57 编辑,买得起机器用不起粉，我晕，亚马逊有秒杀的，关注，71元两桶，买个4桶能用个快一年了我家松下洗碗机，一次只要放10-15克，不用放亮碟剂和软水盐。一年100元就够用了。根本不多",2017/10/28 13:43,mylovepzq,
,,,"天天吃螃蟹的，还在意那点醋？,要省点就买洗碗粉不要买洗碗块,不是重油污的话，每次倒个两三克就可以了,一瓶用三四个月",2017/10/28 15:39,SUNSHINEJJP,
,,"天天吃螃蟹的，还在意那点醋？,要省点就买洗碗粉不要买洗碗块,不是重油污的话，每次倒个两三克就可以了",想用食用碱是看中“食用”二字,2017/10/28 20:28,paopaoyan,
,,买得起机器用不起粉，我晕，亚马逊有秒杀的，关注，71元两桶，买个4桶能用个快一年了我家松下洗碗机，一次 ...,想用食用碱是看中“食用”二字,2017/10/28 20:29,paopaoyan,
我来给大家推荐一个洗碗机。松下的。,"首先我不是什么淘宝客，也不是卖电器的，我只是普通用户。热爱网购,这个洗碗机我选了一个月才海选出来的。因为怕买到太差的，到时洗不干净或不好用。,先上个图,888999.png,(223.62 KB, 下载次数: 0),下载附件,2017-10-20 22:42 上传,我的购买记录,3057的价格入手的。很好的价了。双11都要3200多,我是等了一个月，终于能用优惠卷又凑单才做出来这么低的价,99898.png,(54.8 KB, 下载次数: 0),下载附件,2017-10-20 22:42 上传,为什么买这个不买西门子，海尔美的洗碗机?我来介绍一下,1这个机是松下的旗舰款，是台上式的。洗碗时温度80度。其它的是60-70。大家知道，洗碗时温度高，能更好的去油，而且杀菌能力也会更强,2这个洗碗机耗材少。只要用洗碗粉就行了。不用什么洗碗盐和亮碟剂。使用成本也会低些。,这是小型的。缺点只能洗最多6-7个人左右的碗。人在多就不行。",,,2017/10/20 22:43,mylovepzq,https://www.jdbbs.com/thread-8371155-1-1.html
