p_Name,shop_name,ProductID,price,PreferentialPrice,CommentCount,GoodRateShow,GoodCount,GeneralCount,PoorCount,brand,keyword,type,X_type,X_name
美的（Midea）FS40-13GR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇,美的绿灯侠专卖店,10913792973,,,10000,98,10000,100,100,美的（Midea）,质量不错 风扇不错 安装方便 风力很大 噪音很小 使用方便 造型美观 遥控方便 底座很稳 安全节能,"美的（Midea）FS40-13GR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇,10913792973, ,5.5kg,FS40-13GR,2-8小时,三档调节,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",落地扇,美的（Midea）FS40-13GR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇
美的（Midea）FS40-13CR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇美的 黑色,美的环境电器旗舰店,11533566845,,,6700,98,6500,90,90,美的（Midea）,噪音很小 风力很大 底座很稳 安全节能 扇网坚固 造型美观 风很柔和 远程遥控 颜色漂亮 电机好,"美的（Midea）FS40-13CR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇美的 黑色,11533566845, ,8.3kg,中国大陆,FS40-13CR,2-8小时,三档调节,正常风、自然风、睡眠风,5片,无,遥控式,落地扇",落地扇,美的（Midea）FS40-13CR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇美的 黑色
美的（Midea）塔扇 风扇 落地扇电风扇 静音预约定时,美的小家电旗舰店,10329448645,,,1300,96,1200,30,20,美的（Midea）,造型美观 风力很大 质量不错 风扇不错 噪音很小 使用方便 遥控方便 广角送风 颜色漂亮 远程遥控,"美的（Midea）塔扇 风扇 落地扇电风扇 静音预约定时,10329448645, ,7.8kg,中国大陆,21056110000151（FZ10-16BRW）,8小时以上,五档以上,正常风,无叶,3级,遥控式,塔扇",塔扇,美的（Midea）塔扇 风扇 落地扇电风扇 静音预约定时
戴森(Dyson) TP03空气净化风扇/电风扇/塔扇 净化PM0.1和甲醛+强劲气流 循环空气 塔式智能 银白,戴森官方旗舰店,4840262,,,200,97,200,4,2,DYSON,造型美观 安全节能 颜色漂亮 使用方便 风扇不错 安装方便 扇网坚固 广角送风 质量不错 遥控方便 广角送风 适合宝宝 风扇不错 远程遥控 安全节能,"DYSONTP03白银,4840262,5.82kg,马来西亚,308045-01,8小时以上,五档以上,正常风、自然风、睡眠风,无叶,无,APP控制,落地扇，塔扇，空气循环扇",落地扇，塔扇，空气循环扇,DYSONTP03白银
日彩（RICAI）FS-40-AR1603家用床头定时落地扇 节能立式办公室静音电风扇 黑色,日彩旗舰店,12880202279,,,5900,96,5600,100,100,日彩（ricai）,质量不错 风力很大 风扇不错 安装方便 使用方便 底座很稳 造型美观 风很柔和 噪音很小 安全节能 使用方便 风力很大 电机好 安全节能 睡眠风不错,"日彩（RICAI）FS-40-AR1603家用床头定时落地扇 节能立式办公室静音电风扇 黑色,12880202279, ,8.9kg,中国大陆,2小时以下,三档调节,正常风,5片,1级,机械式,落地扇",落地扇,日彩（RICAI）FS-40-AR1603家用床头定时落地扇 节能立式办公室静音电风扇 黑色
美的（Midea）FZ10-15BW 塔扇无叶风扇/家用电风扇/静音立式风扇,美的绿灯侠专卖店,11166213731,,,3400,97,3300,50,40,美的（Midea）,质量不错 造型美观 风扇不错 噪音很小 使用方便 安装方便 风力很大 风很柔和 安全节能 底座很稳 电机好 风力很大 遥控方便,"美的（Midea）FZ10-15BW 塔扇无叶风扇/家用电风扇/静音立式风扇,11166213731, ,5.7kg,中国大陆,FZ10-15BW,2-8小时,三档调节,正常风、自然风、睡眠风,无叶,1级,机械式,塔扇",塔扇,美的（Midea）FZ10-15BW 塔扇无叶风扇/家用电风扇/静音立式风扇
钻石牌（DIAMOND）FS－40ⅡF 五叶落地扇/电风扇静音16寸四档调速 黑色,钻石牌非凡专卖店,11846057188,,,900,95,900,20,20,钻石牌（DIAMOND）,安装方便 质量不错 使用方便 噪音很小 风力很大 风很柔和 风扇不错 底座很稳 扇网坚固 电机好,"钻石牌（DIAMOND）FS－40ⅡF 五叶落地扇/电风扇静音16寸四档调速 黑色,11846057188, ,7.0kg,中国大陆,FS-40II F,2小时以下,四档调节,正常风、自然风、睡眠风,5片,2级,机械式,落地扇",落地扇,钻石牌（DIAMOND）FS－40ⅡF 五叶落地扇/电风扇静音16寸四档调速 黑色
长城（CHANGCHENG）FS-35（710）电风扇/落地扇/炫酷五叶风扇/摇头电扇,长城官方旗舰店,4579848,,,18000,96,17000,400,200,长城（CHANGCHENG）,风扇不错 安装方便 质量不错 风力很大 使用方便 噪音很小 风很柔和 底座很稳 造型美观 颜色漂亮 噪音很小 风很柔和,"长城FS-35（710）,4579848,5.62kg,中国大陆,710,2小时以下,三档调节,正常风,5片,3级,机械式,落地扇",落地扇,长城FS-35（710）
英国QG(QG)AirCool无叶风扇电风扇冷暖空气循环扇家用电扇落地塔扇 冷暖,QG生活电器旗舰店,10626848028,,,1900,96,1800,50,20,QG,造型美观 风很柔和 使用方便 质量不错 噪音很小 安全节能 安装方便 风扇不错 遥控方便 底座很稳 质量不错 风很柔和 使用方便 安装方便,"英国QG(QG)AirCool无叶风扇电风扇冷暖空气循环扇家用电扇落地塔扇 冷暖,10626848028, ,3.8kg,中国大陆,2-8小时,五档以上,正常风、自然风,无叶,1级,遥控式,落地扇，塔扇，台扇，空气循环扇",落地扇，塔扇，台扇，空气循环扇,英国QG(QG)AirCool无叶风扇电风扇冷暖空气循环扇家用电扇落地塔扇 冷暖
凯迪 电风扇定时办公室落地扇卧室家用电扇立式静音电扇落地扇 黑色定时,凯迪电器旗舰店,11916701938,,,3700,92,3500,100,100,凯迪电器,质量不错 风扇不错 噪音很小 风力很大 底座很稳 使用方便 造型美观 安装方便 风很柔和 安全节能 风很柔和,"凯迪 电风扇定时办公室落地扇卧室家用电扇立式静音电扇落地扇 黑色定时,11916701938, ,5.0kg,中国大陆,A14-R,2小时以下,三档调节,正常风,5片,1级,机械式,落地扇",落地扇,凯迪 电风扇定时办公室落地扇卧室家用电扇立式静音电扇落地扇 黑色定时
