p_Name,shop_name,ProductID,price,PreferentialPrice,CommentCount,GoodRateShow,GoodCount,GeneralCount,PoorCount,brand,keyword,type,X_type,capacity,X_name
飞利浦（PHILIPS）电水壶 304不锈钢带保温功能1.7L大容量 HD9316/03,飞利浦厨房电器旗舰店,729213,339,199,66000,97,63000,1400,800,飞利浦（PHILIPS）,外观漂亮 水壶不错 容量大 不锈钢很好 使用方便 速度快 东西不错 保温功能好 烧水时间短 没有异味 可以打奶泡 东西不错 外观漂亮 咖啡机不错,"飞利浦HD9316/03,729213,1.32kg,中国大陆,自动断电，防干烧，保温",自动断电，防干烧，保温,1.6-2.0升,飞利浦HD9316/03
美的（Midea）电热水瓶PD105-50G 304不锈钢电水壶 5L容量 智能保温电热水壶 双出水烧水壶,美的生活电器自营官方旗舰店,877689,598,239,53000,97,51000,1300,700,美的（Midea）,容量大 使用方便 水壶不错 外观漂亮 保温功能好 东西不错 不锈钢很好 速度快 烧水声音小 没有异味,"美的PD105-50G,877689,3.04kg,中国大陆,防干烧，过滤，保温",防干烧，过滤，保温,2.0升以上,美的PD105-50G
美的（Midea）电水壶WH517E2b 304不锈钢电热水壶 1.7L容量 无缝一体内胆 双层防烫烧水壶（白玉）,美的生活电器自营官方旗舰店,1072238,199,109,370000,97,360000,7400,4300,美的（Midea）,外观漂亮 水壶不错 容量大 速度快 使用方便 东西不错 烧水时间短 不锈钢很好 没有异味 保温功能好 不锈钢很好 保温功能好,"美的WH517E2b,1072238,1.52kg,中国大陆,电热水壶,过热保护，自动断电，防干烧,1.7L,外塑内钢",过热保护，自动断电，防干烧,1.6-2.0升,美的WH517E2b
九阳（Joyoung）电水壶电热水瓶4L四段保温双重出水JYK-40P01,九阳厨房电器旗舰店,968764,499,199,56000,95,53000,1700,900,九阳（Joyoung）,使用方便 水壶不错 外观漂亮 保温功能好 东西不错 容量大 速度快 烧水声音小 不锈钢很好 没有异味 水壶不错,"九阳JYK-40P01,968764,3.23kg,中国大陆,保温",保温,none,九阳JYK-40P01
九阳（Joyoung）电水壶电热水瓶5L三段保温安全童锁JYK-50P01,九阳厨房电器旗舰店,969855,599,199,26000,95,25000,700,300,九阳（Joyoung）,容量大 使用方便 水壶不错 外观漂亮 保温功能好 东西不错 烧水声音小 不锈钢很好 速度快 没有异味,"九阳JYK-50P01,969855,3.08kg,中国大陆,电动出水，保温",电动出水，保温,2.0升以上,九阳JYK-50P01
美的（Midea）电水壶WHJ1705C 304不锈钢电热水壶 1.7L容量 双层防烫烧水壶（时尚青春范）,美的生活电器自营官方旗舰店,2718810,299,99,110000,97,110000,1800,1000,美的（Midea）,外观漂亮 水壶不错 使用方便 容量大 东西不错 速度快 不锈钢很好 烧水时间短 没有异味 保温功能好 水壶不错 不锈钢很好 保温功能好,"美的WHJ1705C,2718810,1.32kg,中国大陆,电热水壶,过热保护，自动断电，防干烧,1.7L,外塑内钢",过热保护，自动断电，防干烧,1.6-2.0升,美的WHJ1705C
金灶（KAMJOVE）自动上水电热水壶加抽水器茶具电茶壶 热水壶 T-22A 黑色,金灶电水壶旗舰店,1592526573,210,169,6100,97,5900,100,60,金灶（KAMJOVE）,使用方便 水壶不错 东西不错 不锈钢很好 烧水时间短 速度快 外观漂亮 没有异味 烧水声音小 还可以吧,"金灶（KAMJOVE）自动上水电热水壶加抽水器茶具电茶壶 热水壶 T-22A 黑色,1592526573, ,1.37kg,电茶炉,过热保护，自动断电，防干烧，电动出水，保温，自动上水，显示水温,1L以下,单层不锈钢",过热保护，自动断电，防干烧，电动出水，保温，自动上水，显示水温,1.1升以下,金灶（KAMJOVE）自动上水电热水壶加抽水器茶具电茶壶 热水壶 T-22A 黑色
苏泊尔（SUPOR）电水壶热水壶电热水壶全钢无缝电子调温 SWF17E16C,苏泊尔官方旗舰店,4224124,299,199,3200,97,3100,50,30,苏泊尔（SUPOR）,外观漂亮 水壶不错 使用方便 保温功能好 速度快 不锈钢很好 容量大 没有异味 东西不错 烧水时间短,"苏泊尔SWF17E16C,4224124,1.7kg,中国大陆,电热水壶,自动断电，防干烧，除氯，保温，显示水温,1.7L",自动断电，防干烧，除氯，保温，显示水温,1.6-2.0升,苏泊尔SWF17E16C
九阳（Joyoung）电水壶1.7L电热水壶优质温控JYK-17C15,九阳厨房电器旗舰店,1081982,129,69,300000,97,290000,4900,2300,九阳（Joyoung）,水壶不错 使用方便 速度快 东西不错 不锈钢很好 烧水时间短 没有异味 外观漂亮 容量大 还可以吧,"九阳JYK-17C15,1081982,1.08kg,中国大陆,电热水壶,自动断电，防干烧,1.7L",自动断电，防干烧,1.6-2.0升,九阳JYK-17C15
美的（Midea）电热水瓶PF701-50T 304不锈钢电水壶 5L容量 4段温控电热水壶 双层彩钢烧水壶,美的生活电器自营官方旗舰店,2933664,599,259,26000,96,25000,500,400,美的（Midea）,容量大 外观漂亮 使用方便 水壶不错 保温功能好 东西不错 不锈钢很好 速度快 没有异味 烧水声音小,"美的PF701-50T,2933664,3.1kg,中国大陆,防干烧，保温",防干烧，保温,2.0升以上,美的PF701-50T
