p_Name,shop_name,ProductID,price,PreferentialPrice,CommentCount,GoodRateShow,GoodCount,GeneralCount,PoorCount,brand,keyword,type,X_type,capacity,X_name
志高（CHIGO）电水壶ZD-1898 食品级304不锈钢1.8L容量双层防烫家用自动断电热水壶烧水壶,苏宁自营,165437477,59.00,59.00,1686,97,1641,34,11,志高(CHIGO),"""性价比高 ,外观漂亮,物美价廉,产品美观,烧水快,大容量,使用安全,喝水方便,食品级不锈钢""","""志高（CHIGO）ZD-1898 电水壶 304不锈钢 电热水壶 1.8L容量 天蓝色,蓝色,不锈钢,不支持,支持,国产温控器,支持,底盘加热,1.6-2L,2-4人""",不保温,1.6-2L,志高（CHIGO）ZD-1898 电水壶 304不锈钢 电热水壶 1.8L容量 天蓝色
哈尔斯（haers）GW-200-7真空雅致杯壶,苏宁自营,145643564,,,0,0,0,0,0,哈尔斯(HAERS),,"""哈尔斯（haers）GW-200-7真空雅致杯壶,1升,其它,不锈钢,进口温控器,1瓦特""",保温,1升,哈尔斯（haers）GW-200-7真空雅致杯壶
哈尔斯（haers）HPC-17-15悦动便携提手杯壶,苏宁自营,145642871,,,0,0,0,0,0,哈尔斯(HAERS),,"""哈尔斯（haers）HPC-17-15悦动便携提手杯壶,1升,其它,塑料,进口温控器,1瓦特""",不保温,1升,哈尔斯（haers）HPC-17-15悦动便携提手杯壶
万象杯A12,苏宁自营,127343501,,,0,0,0,0,0,万象(WANXIANG),,"""万象杯A12,万象,0.36升,底盘加热,塑料,国产温控器,0瓦特""",保温,0.36升,万象杯A12
虎牌（tiger)电热水瓶电水壶智能速热开水日本原装进口保温瓶PDU-A40C 4L 黑色,苏宁自营,193535938,,,0,0,0,0,0,虎牌(tiger),,"""PDU-A40C,黑色,304不锈钢,不锈钢,支持,电动出水,进口温控器,按键式,底盘加热,4L""",none,4L,虎牌（tiger)电热水瓶电水壶智能速热开水日本原装进口保温瓶PDU-A40C 4L 黑色
虎牌（tiger)MJC-A036保温杯原装进口超轻保冷杯304不锈钢单手易开360ML 红色R 红色,苏宁自营,690307616,,,0,0,0,0,0,虎牌(tiger),,"""虎牌（tiger) MJC-A036保温杯360M,虎牌(tiger),红色,不锈钢,支持,支持,其他,不支持,其它,1.1L及以下,1-2人""",保温,1.1L及以下,虎牌（tiger) MJC-A036保温杯360M
志高（CHIGO）电水壶ZD20A-708 食品级304不锈钢2L大容量自动断电热水壶烧水壶,苏宁自营,108512551,45.00,45.00,26977,97,26252,452,273,志高(CHIGO),"""物美价廉,性价比高 ,烧水快,大容量,喝水方便,外观漂亮,食品级不锈钢,使用安全,产品美观""","""志高电水壶ZD20A 708 不锈钢电热水壶 大容量2L 热水壶,志高,其他,不锈钢,不支持,支持,国产温控器,支持,底盘加热,1.6-2L,2-4人""",不保温,1.6-2L,志高电水壶ZD20A 708 不锈钢电热水壶 大容量2L 热水壶
哈尔斯（haers）DSLW-350-17乐乐(黄）真空保温直杯壶,苏宁自营,145642842,,,0,0,0,0,0,哈尔斯(HAERS),,"""哈尔斯（haers）DSLW-350-17乐乐(黄）真空保温直杯壶,0.35升,其它,不锈钢,进口温控器,1瓦特""",不保温,0.35升,哈尔斯（haers）DSLW-350-17乐乐(黄）真空保温直杯壶
爱仕达电水壶AW-S17G105,苏宁自营,723224068,,,0,0,0,0,0,爱仕达(ASD),,"""爱仕达电水壶AW-S17G105,爱仕达(ASD),其他,不锈钢,支持,支持,进口温控器,支持,底盘加热,1.6-2L,2-4人""",保温,1.6-2L,爱仕达电水壶AW-S17G105
万象H21TL,苏宁自营,127358605,,,0,0,0,0,0,万象(WANXIANG),,"""万象H21TL,万象,0.45升,底盘加热,塑料,国产温控器,1瓦特""",保温,0.45升,万象H21TL
