p_Name,shop_name,ProductID,price,PreferentialPrice,CommentCount,GoodRateShow,GoodCount,GeneralCount,PoorCount,keyword,type,brand,X_type,X_name,capacity,source
奥克斯（AUX）正1.5匹 冷暖 定速 空调挂机(KFR-35GW/HFJ+3),奥克斯空调自营旗舰店,1311928,2399.00,1949.00,240000,98,240000,1800,2500,品质有保障 信得过 特别快 简单实用 节能环保 外观大气 动力强劲 清爽干净 漏水,奥克斯（AUX） 奥克斯KFR-35GW/HFJ+3 1311928 13.5kg 中国大陆 定频 冷暖空调 自动清洁 白色有花纹 1.5匹 三级能效 15-20㎡ 壁挂式空调,奥克斯,定频,奥克斯KFR-35GW/HFJ+3,1.5匹,京东
格力（GREE）正1.5匹 定速 品圆 冷暖 壁挂式空调 KFR-35GW/(35592)NhDa-3,格力官方旗舰店,1993087,3199.00,2799.00,96000,98,94000,700,1300,态度好 信得过 品质有保障 不愧是品牌 特别快 简单实用 完好无损 节能环保 动力强劲 设计美,格力（GREE） 格力KFR-35GW/35592NhDa-3 1993087 14.0kg 中国大陆 定频 冷暖空调 静音空调 白色 1.5匹 三级能效 15-20㎡ 壁挂式空调,格力,定频,格力KFR-35GW/35592NhDa-3,1.5匹,京东
美的（Midea）大1匹 变频 智弧 冷暖 智能壁挂式空调 KFR-26GW/WDAA3@,美的空调自营旗舰店,2883289,3099.00,2499.00,78000,98,77000,400,700,信得过 品质有保障 特别快 简单实用 节能环保 完好无损 小巧玲珑,美的（Midea） 美的KFR-26GW/WDAA3@ 2883289 11.5kg 中国大陆 变频 冷暖空调 智能空调，变频空调，静音空调，自动清洁 白色 1匹 三级能效 10-15㎡，15-20㎡ 壁挂式空调,美的,变频,美的KFR-26GW/WDAA3@,1匹,京东
格力（GREE）正1.5匹 变频 品圆 冷暖 壁挂式空调 KFR-35GW/(35592)FNhDa-A3,格力官方旗舰店,1993092,3699.00,3699.00,140000,97,140000,1200,2200,态度好 信得过 品质有保障 特别快 节能环保 简单实用 动力强劲 造型别致 小巧玲珑 外观大气 干净清爽,格力（GREE） 格力KFR-35GW/35592FNhDa-A3 1993092 13.5kg 中国大陆 变频 冷暖空调 变频空调，静音空调 白色 1.5匹 三级能效 15-20㎡ 壁挂式空调,格力,变频,格力KFR-35GW/35592FNhDa-A3,1.5匹,京东
志高（CHIGO）1.5匹 变频 智能 冷暖 壁挂式 空调挂机 京东微联App控制（NEW-GV12BJ9H3Y2）,志高空调自营旗舰店,2648218,3399.00,2438.00,5100,98,5000,50,70,特别快 态度好 外观大气 品质有保障 信得过,志高（CHIGO） 志高NEW-GV12BJ9H3Y2 2648218 10.0kg 中国大陆 变频 冷暖空调 智能空调，变频空调，自动清洁 白色 1.5匹 三级能效 15-20㎡ 壁挂式空调,志高,变频,志高NEW-GV12BJ9H3Y2,1.5匹,京东
TCL 正1.5匹 京东微联智能 定速 冷暖 空调挂机（隐藏显示屏）（KFRd-35GW/JD13）,TCL空调自营旗舰店,2344362,2699.00,1999.00,9400,97,9100,90,100,特别快 态度好 品质有保障 外观大气 信得过 简单实用,TCL TCLKFRd-35GW/JD13 2344362 12.0kg 中国大陆 定频 冷暖空调 智能空调，静音空调，自动清洁 白色有花纹 1.5匹 三级能效 15-20㎡ 壁挂式空调,TCL,定频,TCLKFRd-35GW/JD13,1.5匹,京东
志高（CHIGO）1匹 定速 冷暖 空调挂机 纯铜管 成龙签名款（NEW-GD9BJ9H3）,志高空调自营旗舰店,2743969,2799.00,2149.00,29000,97,28000,300,500,态度好 品质有保障 信得过 特别快 简单实用 造型别致 动力强劲,志高（CHIGO） 志高NEW-GD9BJ9H3 2743969 10.0kg 中国大陆 定频 冷暖空调 静音空调，自动清洁 白色 1匹 三级能效 10㎡以下，10-15㎡ 壁挂式空调,志高,定频,志高NEW-GD9BJ9H3,1匹,京东
美的（Midea）正1.5匹 二级能效 全直流变频冷暖空调挂机 KFR-35GW/BP3DN1Y-TA201(B2),美的空调自营旗舰店,4220392,5999.00,4899.00,400,99,400,2,7,外观大气 态度好 特别快,美的（Midea） 美的KFR-35GW/BP3DN1Y-TA201(B2) 4220392 14.0kg 中国大陆 变频 冷暖空调 高能效空调，智能空调，变频空调，静音空调，全直流变频，自动清洁 其他 1.5匹 二级能效 15-20㎡，20-30㎡ 壁挂式空调,美的,变频,美的KFR-35GW/BP3DN1Y-TA201(B2),1.5匹,京东
美的（Midea）1.5匹 变频 冷暖 一级能效 智能WIFI 空调挂机 ECO节能 省电星 KFR-35GW/BP3DN8Y-DA200(B1),美的空调自营旗舰店,1962900,5399.00,3899.00,2000,100,2000,5,10,外观大气 特别快 性价比高 态度好 声音很小,美的（Midea） 美的KFR-35GW/BP3DN8Y-DA200(B1) 1962900 14.0kg 中国大陆 变频 冷暖空调 高能效空调，变频空调，全直流变频，自动清洁 白色 1.5匹 一级能效 15-20㎡，20-30㎡ 壁挂式空调,美的,变频,美的KFR-35GW/BP3DN8Y-DA200(B1),1.5匹,京东
志高（CHIGO）1.5匹 一级能效 变频 智能 冷暖 空调挂机 京东微联App控制 成龙签名款（NEW-GV12BJ3H1Y2）,志高空调自营旗舰店,3764783,3749.00,2999.00,3100,98,3000,20,40,特别快 外观大气 态度好 信得过 品质有保障 节能环保,志高（CHIGO） 志高NEW-GV12BJ3H1Y2 3764783 11.0kg 中国大陆 变频 冷暖空调 0元安装，高能效空调，智能空调，变频空调，静音空调，全直流变频，自动清洁 白色有花纹 1.5匹 一级能效 15-20㎡ 壁挂式空调,志高,变频,志高NEW-GV12BJ3H1Y2,1.5匹,京东
