creationTime,content_1,days,isMobile,nickname,productSize,referenceName,referenceTime,score,userClient,userLevel,userProvince
2017-02-22 10:10:45,"""格力董小姐，必须支持",1,true,"""j***氏""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-02-21 21:13:11,5,"""来自京东iPhone客户端""","""钻石会员""",""""""
2017-02-22 10:10:45,"""昨天下单，今天就到了！手机质感不错，耳机音感很好，先用一段时间看看！",4,false,"""s***7""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-02-23 21:51:08,5,"""""","""银牌会员""",""""""
2017-02-27 17:28:35,"""屏幕漂亮，程序运行很流畅，玩游戏不在话下，听歌音质也不错，还有就是空间足够，安装不少的软件！",6,false,"""j***6""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-02-28 18:01:08,5,"""""","""钻石会员""",""""""
2017-03-06 14:34:52,"""性能好， 速度快， 电池耐用， 2K大屏不错，  色彩很爽！",1,false,"""j***i""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-02-23 17:03:30,5,"""""","""银牌会员""",""""""
2017-02-24 10:39:08,"""机子很漂亮，高端大气上档次，运行速度挺快的，支持中国造！",2,false,"""c***y""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-02-22 18:22:51,5,"""""","""银牌会员""",""""""
2017-02-24 13:06:11,"""6寸大屏很霸气，玩游戏超爽，外观漂亮，时尚。用了好几天，速度很快，电池真的厉害，用一天不用充。总的来说很好，很满意",11,false,"""星***8""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-02-28 13:00:21,5,"""""","""金牌会员""",""""""
2017-03-11 13:33:54,"""冲着格力牌子买一台试试，还可以，比想象中的好用。",8,false,"""猪***宝""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-03-25 19:03:03,5,"""""","""银牌会员""",""""""
2017-04-02 10:16:00,"""手机外观很漂亮，拿到手里手感很好！大屏幕分辨率2K玩游戏看VR内容效果都不错；耳机音感很好！",2,false,"""琪***5""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-03-08 20:56:49,5,"""""","""钻石会员""",""""""
2017-03-10 22:16:45,"""昨天就到了，包装很大气，手机不错，开机画面不是董小姐",3,true,"""z***8""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-03-06 13:55:10,5,"""来自京东iPhone客户端""","""银牌会员""",""""""
2017-03-09 15:24:31,"""格力空调做好的，没想到手机也不错",3,false,"""z***b""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-02-23 10:58:30,5,"""""","""银牌会员""",""""""
2017-02-26 21:37:16,"""物流蛮快。第一台国产手机，支持一下让世界爱上中国造的格力",2,true,"""j***k""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-03-23 00:03:00,5,"""来自京东iPhone客户端""","""金牌会员""",""""""
2017-03-25 20:23:39,"""属于高颜值类型，颜值控的福音！",2,true,"""j***v""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-02-22 14:16:06,5,"""来自京东Android客户端""","""银牌会员""",""""""
2017-02-24 13:50:52,"""信任格力品牌，和董明珠摔手机讲品质卖了一台，用了2天再来评价，各方面都非常好，货真价实，真心希望格力手机越做越好，让世界爱上中国造",2,true,"""j***u""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-04-09 21:40:30,5,"""来自京东Android客户端""","""银牌会员""",""""""
2017-02-28 09:05:24,"""格力就是牛！手机太漂亮了！居然还有收音机功能，惊喜！都使格力手机吧！支持国货！",7,true,"""z***2""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-02-21 21:17:06,5,"""来自京东iPhone客户端""","""银牌会员""",""""""
2017-02-25 14:16:35,"""不错，跟想的差不多，就是送的膜没法用，太小了。",1,true,"""周***之""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-02-24 16:15:55,5,"""来自京东Android客户端""","""PLUS会员""",""""""
2017-02-25 14:16:35,"""机子是不错了，只是下载很慢。",1,true,"""江***好""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-04-05 19:05:46,5,"""来自京东Android客户端""","""PLUS会员""",""""""
2017-05-02 09:09:19,"""爸爸用的很满意，支持国产，支持格力",22,true,"""9***4""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-04-10 10:34:23,5,"""来自京东Android客户端""","""钻石会员""",""""""
2017-04-10 21:21:34,"""好用，电池续航久，充电快。",5,true,"""郑***才""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-04-05 06:38:11,5,"""来自京东Android客户端""","""银牌会员""",""""""
