creationTime,content_1,mark,days,isMobile,nickname,productSize,referenceName,referenceTime,score,userLevel,userProvince
2017/4/6 11:02,送货快 安装工人缉技术好 5星,1,3,TRUE,"""y***1""",凉之静,格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2,2017/6/1 22:36,5,来自京东iPhone客户端,金牌会员
2017/6/4 10:29,不错，等用段时间 细评,1,2,TRUE,"""j***1""",凉之静,格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2,2017/5/16 8:14,5,来自京东iPhone客户端,金牌会员
2017/5/18 13:03,国家品牌格力造，不仅是相信品牌，更钦佩其后期服务！家住六楼且没经验提前安装了防盗窗，在这种艰难条件下，安装师傅非常专业且敬业，两台空调从四点装到七点才全部结束！会更加支持格力！,1,10,TRUE,"""E***C""",凉之静,格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2,2017/3/15 0:23,5,来自京东iPhone客户端,PLUS会员
2017/3/25 19:12,速度很快！安装也快，至于致冷等到夏天看郊果！,1,3,TRUE,"""j***e""",凉之静,格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2,2017/2/11 14:03,5,来自京东Android客户端,钻石会员
2017/2/14 17:29,还行吧 制热比较慢 声音还可以 格力空调还是不错的,1,5,TRUE,"""j***f""",凉之静,格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2,2017/1/18 14:01,5,来自京东iPhone客户端,金牌会员
2017/1/23 21:50,格力大品牌，好品质，值得信赖！,1,1,TRUE,"""1***0""",凉之静,格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2,2017/6/1 13:41,5,来自京东Android客户端,钻石会员
2017/6/2 11:03,师傅很给力，态度也很好，很辛苦,1,2,FALSE,"""Q***I""",凉之静,格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2,2017/5/28 23:03,5,来自微信购物,金牌会员
2017/5/30 23:45,京东太给力了，此次购物很愉快，安装服务都很满意，由于不超三米，安装楼层低不收任何安装费用。,1,1,FALSE,"""t***5""",凉之静,格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2,2017/6/1 0:02,5,,银牌会员
2017/5/30 17:05,下单后很快送货安装，非常满意。,1,3,TRUE,"""j***k""",凉之静,格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2,2017/5/27 22:27,5,来自京东iPhone客户端,钻石会员
2017/5/30 17:05,"非常好的品牌空调,快递哥给力安装师傅更给力,一天全搞定!超满意!打满5分!",1,1,FALSE,"""s***y""",凉之静,格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2,2017/6/11 12:00,5,,钻石会员
2017/3/25 18:02,格力还是不错的！大牌值得信赖。安装师傅辛苦咯,1,2,TRUE,"""l***萃""",凉之静,格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2,2017/3/23 0:19,5,来自京东iPhone客户端,钻石会员
2017/3/25 18:02,看起来高大上，安装师傅也非常细致，好评！,1,11,TRUE,"""y***6""",凉之静,格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2,2017/4/19 23:19,5,来自京东Android客户端,银牌会员
2017/4/30 13:32,物流快，安装及时，一天完成送货安装，好评!,1,1,TRUE,"""J***水""",凉之静,格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2,2017/4/28 9:09,5,来自京东Android客户端,钻石会员
2017/4/29 20:08,下单，送货，安装，1天就搞定，京东神速，商家，客服，安装师傅，他们的服务态度都非常好，谢谢你们了，,1,1,FALSE,"""c***y""",凉之静,格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2,2017/5/7 9:51,5,,金牌会员
2017/5/5 16:23,安装服务比较好，产品颜色也家具强制很搭,1,9,TRUE,"""-***老""",凉之静,格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2,2017/4/26 9:10,5,来自京东iPhone客户端,PLUS会员[试用]
2017/5/5 16:23,一直信赖格力，安装师傅很用心，赞一个,1,6,TRUE,"""j***づ""",凉之静,格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2,2017/5/15 18:50,5,来自京东Android客户端,金牌会员
2017/5/21 15:45,颜值担当，视觉高大上，制冷效果不错,1,3,TRUE,"""d***6""",凉之静,格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2,2017/6/1 20:03,5,来自京东Android客户端,钻石会员
2017/6/5 18:49,11月8日格力日买的，可以享受北京市民节能补贴，2961元入，还用了张12期分期免利息的白条，赞！家里至少买了三台格力挂机了，都是大一匹的，开到29度已经很凉爽，而且很静音，认准格力了，第四台再次入格力，看中这款香槟色好美,1,13,TRUE,"""青***a""",凉之静,格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2,2016/11/8 20:39,5,来自京东iPhone客户端,钻石会员
2016/11/21 19:59,空调不错哦，就是之前的活动没赶上，服务态度也好。,1,39,TRUE,"""t***e""",凉之静,格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2,2017/1/1 14:28,5,来自京东iPhone客户端,钻石会员
2017/2/9 13:48,不错，就是有些小贵！,1,8,TRUE,"""大***博""",凉之静,格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2,2017/4/28 22:16,5,来自京东iPhone客户端,钻石会员
