content_1,score
"""差评 差评  差评  差评   差评   买了四台没几天一台就降价几百、亏了我一千多",-1
"""差评 差评  差评  差评   差评   买了四台没几天一台就降价几百、亏了我一千多",-1
"""安装送货都可以。但必须吐槽京东商城，等了十几天，竞然不标注 让客户无限期的等。没货卖个毛线。十几天客户付款你们利息都可以赚不少了。更深一层看你们违法了。",-1
"""噪音有点大，比以前买的体验差很多",-1
"""一般",-1
"""买了无人给安装",-1
"""第一次，没有给五星，空调和京东都没话说还是一如既往的好，为什么只给两星，主要坑在安装上面，首先已经提前约了还等了快3个小时，第二安装师傅来了一个告知只有不锈钢的架子，价格吓人，说的普通的没有，变相的等于强卖，我一个破架子还要不锈钢的，你怎么不说只有金的，第三，安装发票打了三个电话，等了半个月了，还有意识呢，！希望京东对大家电安装这块也要加强监督，考核",-1
"""暂时还、行",-1
"""格力空调同型号的比这便宜",-1
"""安装售后不要太垃圾啊，把我新家铝合金窗弄凹了，墙面漆划了，是装的空调还是核反应堆，早看评论格力售后服务垃圾，我还不信，这回信了。离海尔的服务还有很长一段路要走",-1
"""质量超级差！居然不让差评！",-1
"""空调安装好了，第一天下单，第二天送货，第三天安装。送货，安装给5分，安装来了2个师傅，没用另外收费的材料。就是空调质量不敢恭维，开26度，房间不觉得怎样，和家里其他2台松下，夏普的没法比，格力呀格力，叫我怎么说你，空调只能给3分哦",-1
"""商品本身我不评价，就商品说好的送扫地机，明显误导消费者，活动没开始就显示活动内容，说是满多少就送扫地机，然后在所谓的跳转页面上的活动条款注一个所谓的活动日期，你没开始的活动发什么，明显是欺骗消费者。这么做迟早你的老客户都会流失掉",-1
"""空调到了两天，安装师傅才到，到了安装后连开机密码都没弄就走了，已经四天没来了！ \n京东你就这个服务，买了空调不给秘密，我买了个摆设开不了机。",-1
"""空调不错 就是快递说好了要送 找各种理由推迟 还没收到货 就非要替我签收 毕竟不是京东自己送的 真是不幸",-1
"""快、快、快。暖气还行，冷气恐怕要到天热才能试出来",-1
"""格力空调公认的好，只是这售后我觉得有很大的提升空间！我们也理解市场竞争激烈铜管只有3米，但好像每次安装的时候都必须被砍一刀！还有打墙孔超过40CM要收费，这又是一个变像收费项目！还有以前人家海尔把屋里收拾的干干净净才离开，而他们急着要现场给好评，而屋里凌乱的一踏糊涂！我也不是要刁难，希望格力越做越好",-1
"""2号预约订的单6号准时送货上门，速度很快很满意。可是想不到的是预约过来安装的速度是那么慢那那么的难，与客服联系了N次打电话到格力空调售后服务的电话也N次，到'至今都还没有给我确定安装的时间。时间是宝贵的，我也没有多少空闲时间在家等候。'总结这格力空调的售后的服务真的令人心寒。安装的问题，一个星期了都不来给我安装，报装了也没有安装师傅联系，也不知道什么时候才来安装，一天拖一天已是7天了，果断逼我申请了退货",-1
"""还行.......................",-1
"""总体还行，就是背安装的师傅坑了一米多的管子钱",-1
