content_1,score
"""很开心的一次购物，就是感觉价格有点贵了而已，安装师傅服务态度很好，给安装师傅点赞。",1
"""比实体店价格便宜，他要求搞工会之家为等等其他一些附加消费安装高空息休会，休会",1
"""师傅超级无敌的",1
"""空调还不错、装空调的师傅说这空无不错，一级节能；省电点，希望滥用、更新师傅安装，你们辛苦了",1
"""质量一直杠杠的！支持格力空调，制热效果很快的，快递很给力，售后安装也很给力！总之就是买的很开心的",1
"""挺给力的，送货并主动预约安装，速度均很快，工作人员专业礼貌，安装完成后试机运行真的安静，",1
"""买空调还是格力的好，虽然贵点但效果好，京东物流也很快，安装是京东自己装的没有乱收费现象",1
"""新家买的，一次买了2台，格力技术发展也很成熟，所以认准国内品牌，所有新家的东西都是在京东上购买的，安装师傅也很及时，技术熟练，高空作业危险，很辛苦的",1
"""第一次网上买大件电器，空调看了还不错，除了架子要钱安装是免费的，客服也都有提前沟通，蛮好。",1
"""很不错！制冷和制热都不错，很舒适！",1
"""外观好看，京东送货速度很快，客服也很好，能够及时的解决问题，挺满意的",1
"""满意，跟墙体颜色挺搭的?安装服务好评，试试挺静音的，看以后的质量吧",1
"""物流给力，外观也漂亮！?安装师傅也挺热情，用心。家住22楼，师傅挺不容易！安装后，通电试用了一下。效果不错！！！",1
"""格力空调就是好，产品质量杠杠的，服务更是好，安装给你整得妥妥的。",1
"""高端大气上档次！师傅安装的很认真，这么高太操心了！就收了个空开钱",1
"""因装修灰尘大，安装好后包裹了一下，这挂机整体感觉不错，挺独特，好空调格力造！",1
"""还不错，23号下单，25号早上送来，马上预约了安装，上午就来安装了，神速啊！",1
"""不错，格力的品牌让人相信，安装师傅也很给力，一口气装了三个，辛苦了",1
"""京东的速度杠杠滴！！十八号买的，十九号安装完毕。超级点赞?",1
"""京东商城发货就是速度，昨天晚上买的下午就到了，必须赞一个！",1
"""价格实惠，东西看起来不错，具体使用才知道",1
"""外观很漂亮，安装工人很热心，也没有发生额外收费，安装时需要的费用也没多少，就一个高空作业-100还有一个因为管不够长我选择安装架子的40，其它什么都没有，安装师傅工作还很细心。大品牌就是好，这是我买家电安装最舒心的一次。给安装和送货的师傅点赞，给格力点赞。",1
"""当天上午下单下午就送来了，第二天安装师傅就来安好，师傅态度特别好，空调也试了一下制热，感觉挺快的，本来犹豫了很久要不要在京东买，结果证明选择没错的，格力的安装也特别专业特别给力，希望京东和格力一直这样给力！",1
"""外观漂亮，还没用上，信格力",1
"""好好好好好好好好好好好好好好好",1
"""机器挺漂亮的，安装工很负责任，高空作业，真的不容易，给安装师傅点个赞！！！",1
"""挺好看的，而且屏幕也是很外壳融为一体的，时尚大气，而且能效等级是2级，不知会不会比3级能效省电效果明显！",1
"""格力空调制冷很好，安装师傅很好人，帮忙把天然气的洞口也堵上，以后不怕渗水进来了",1
"""非常喜欢，安装到物流都是杠杠滴啦，一直喜欢在京东商城购买货品，特别是自营商品，都是一百二十个赞?，",1
"""空调已经安装好几天了，天气比较好开的很少，还不知道效果怎么样，但相信格力空调的品质，棒棒哒！",1
"""非常好的空调，很喜欢，买给父母的。。。",1
"""非常好，噪音小，制热快，安装师傅不错",1
"""双十二活动直接买了两台，送货很快！选择什么时候送就什么时候送到",1
"""空调棒棒的，和描述的一样，格力品牌没得说！",1
"""大品牌东西就是好，服务太度也不错。",1
"""送货师傅没问题，速度也快！赞！",1
"""色很好看，试了机了。感觉不错",1
"""新款很漂亮！安装师傅服务很到位很细心，墙壁一点都没脏，给赞！",1
"""格力品质值得信赖，一点没错。",1
"""挺好的，送货速度快，第二天就来安装了，安装师傅也很好。",1
"""格力、一直都很好、声音小制冷快。",1
"""所有服务态度非常棒，产品很完美，值得拥有",1
"""感谢京东帮送货即时，安装师傅辛苦了",1
"""还可以，价格要是在便宜点就很好；额",1
"""好品质  好服务  值得信赖",1
"""四台空调都装好了，我装的是29楼的，师傅很专业。表示很满意！",1
"""物流和安装师傅都很专业和快速完成。",1
"""家里所有空调都是都是格力，这次也很是满意，",1
"""空调很好，外观漂亮，大气，声音小，很赞！",1
"""安装师傅服务态度不错，速度快。666",1
"""超喜欢。外观功能都很强大。物流也给力。安装服务也很好。",1
"""看的还不错，特点风口可向上吹。不直接吹人，很好。",1
"""质量好  安装好  服务好",1
"""速度质量服务都可以",1
"""很好看很好看，值得购买哦",1
"""不错，双十一下单，第二天到，第三天装，这个速度杠杠的",1
"""安装快，服务好！！！！",1
"""很好看，非常好，够档次！！",1
"""挺好的，配送小哥也不错，安装师傅也很专业。",1
"""货很快就收到了。售后说今天来安装，但愿安装师傅技术高态度好，不发生因安装质量和收费等不愉快的事情，否则会毫不犹豫的退货。看评价，反映安装问题的不少，但愿一切顺利！",1
"""很漂亮，非常满意。",1
"""京东自营值得信赖 一直用京东 从未失望过",1
"""空调格力就是牛  卖家服务也很牛 买到就是转到 服务一流   速度一流 品牌一流",1
"""金色配黄色墙面，好看",1
"""看起来很不错，师傅安装的很好。冷暖很到位",1
"""抢购的，真便宜，用着不错，安装也快，安装费太贵",1
"""就国内的空调而言肯定是选格力了，一口气买了四台，但是京东的价格太扯了，第一个单和第二个单价格都不一样，还不能买同一个型号超过两台，啥逻辑，一下至少多花了几百块。",1
"""京东就是好：送货速度准时态度也很好...安装师父态度很好很贴心还有机子很漂亮",1
"""关于这个空调安装格力公司一共安排了三拨师傅，最后的董师傅技术很好，我老公当时在现场，非常满意。格力中国造，让我们对民族产业有了很大信心，希望坚持下去！",1
"""买空调，选格力。空调超静音，好漂亮，家里人看见了开心得不得了。安装速度快，服务态度很好，本来要隔天安装的，结果打个电话马上到了，乡下地方都有这么高速率，赞",1
"""安装及时很用心，机子很漂亮，空调声音静音档确实很小",1
"""挺好的 京东送货很快 安装也很快 试了下 制热效果不错",1
"""昨天买了，今天就送货安装了，安装师傅服务非常好！满意",1
"""这个空调不错，安装师傅也挺好，服务态度也挺好，水平也挺高，赞一下！",1
"""已经在使用了，挺不错的，给家里买的，点赞，一样质量够好",1
"""快递快，退货易，所以不退货的产品质量基本满意，至于价格变动差异绝对坑 DIE",1
"""挺好的，送货快，包装好，优惠力度大。而且挺大方简约。",1
"""京东货多 配送超级快 上帝般的服务大品牌值得信赖",1
"""大品牌值得信赖一直信任京东，外观漂亮，出风量很大",1
"""优惠幅度到位，不错的购物体验，大家电，选京东！",1
"""比实体店便宜多了，格力质量没得说",1
"""很好，配送安装都很及时，五星。",1
