creationTime,content_1,mark,days,isMobile,nickname,productSize,referenceName,referenceTime,score,userClient,userLevel,userProvince
2017/3/22 15:24,"""非常满意，师傅很详细解答各种问题，安装速度很快，做事情很细心，非常有礼貌，京东服务很赞",1,7,TRUE,"""m***1""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/3/15 19:34,5,"""来自京东Android客户端""","""金牌会员""","""江苏"""
2017/3/22 15:24,"""安装师傅太负责了，空调质量也好，没什么声音，家里空调一直都买格力的，以后也是。",1,3,FALSE,"""***孓""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/3/15 22:22,5,"""""","""银牌会员""","""广东"""
2017/3/25 22:44,"""收到货了，京东物流很给力，服务一级棒，东西还没用！家人帮忙收货，明天安装，拭目以待！",2,2,TRUE,"""豆***r""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/3/23 7:53,5,"""来自京东Android客户端""","""钻石会员""","""北京"""
2017/4/13 11:43,"""送货跟服务挺好的，暂未使用。",1,2,FALSE,"""j***o""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/4/11 18:53,5,"""""","""钻石会员""",""""""
2016/12/14 18:01,"""虽然还没拆箱，但要给快递哥一百个赞，在楼下等了我差不多1个钟，支持京东自营店，对自己好点认真购物上京东",1,2,TRUE,"""r***e""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2016/12/12 13:04,5,"""来自京东Android客户端""","""钻石会员""","""广东"""
2017/3/19 10:06,"""好空调，格力造！让世界爱上中国造。师傅很热情，安装很专业。14楼，高空作业费只收了50元。空调试了一下，挺不错的，很满意这次网购。",1,4,TRUE,"""Z***n""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/3/15 22:22,5,"""来自京东Android客户端""","""银牌会员""","""安徽"""
2017/3/19 10:06,"""外形漂亮，声音小，师傅安装得好！",1,1,FALSE,"""c***7""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/2/16 11:44,5,"""""","""钻石会员""",""""""
2017/4/21 17:10,"""。。。。。。。非常满意",1,2,TRUE,"""钢***7""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/4/19 23:40,5,"""来自京东Android客户端""","""银牌会员""",""""""
2017/4/21 17:10,"""送货速度和安装没得说，都挺好的。至于空调质量因为天气不是太冷又不是太热，所以还很难说。",2,7,FALSE,"""z***q""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/3/23 11:59,5,"""""","""金牌会员""",""""""
2017/4/16 12:17,"""两部空调等待装机，装了之后，使用后再来反馈，不过买之前问过在格力做研发的朋友，说格力没有出这款机，有点担心是翻新机",2,2,TRUE,"""小***芳""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/4/14 9:12,5,"""来自京东iPhone客户端""","""PLUS会员[试用]""",""""""
