creationTime,content_1,days,isMobile,nickname,productSize,referenceName,referenceTime,score,userClient,userLevel,userProvince
2016/2/28 15:00,"""刚安装好！待使用！感觉还不错！",4,TRUE,"""t***g""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/2/24 14:45,5,"""来自京东iPhone客户端""","""钻石会员""","""广东"""
2016/2/28 14:56,"""看来不错，用一段时间在评价性能如何。",40,FALSE,"""deiwenhmz""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/1/19 11:07,4,"""""","""银牌会员""",""""""
2016/2/28 14:19,"""还没用。很喜欢",10,TRUE,"""j***8""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/2/18 13:43,5,"""来自京东Android客户端""","""钻石会员""",""""""
2016/2/28 14:19,"""很好哦",6,TRUE,"""C***u""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/2/22 13:15,5,"""来自京东iPhone客户端""","""钻石会员""","""广东"""
2016/2/28 13:28,"""空调很满意",52,TRUE,"""j***Y""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/1/7 23:25,5,"""来自京东Android客户端""","""金牌会员""",""""""
2016/2/28 13:09,"""其实声音挺大的，制热要站在风口才感觉到热气，不知道制冷的时候怎么样了，杂音这么大不像变频的",5,TRUE,"""仲***眠""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/2/23 21:07,4,"""来自京东iPhone客户端""","""银牌会员""","""广西"""
2016/2/28 12:22,"""感觉不错！",6,FALSE,"""w***1""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/2/22 16:14,5,"""""","""PLUS会员""","""广东"""
2016/2/28 12:01,"""师傅安装态度可以，就是收了我二十块钱的路费，觉得有点不爽",3,TRUE,"""1***6""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/2/25 0:19,5,"""来自京东iPhone客户端""","""PLUS会员""","""湖南"""
2016/2/28 11:55,"""非常好，不错啊相信京东",3,TRUE,"""j***4""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/2/25 21:45,5,"""来自京东Android客户端""","""银牌会员""",""""""
2016/2/28 11:49,"""空调没的说，真的不错，包装好、送货快、价格实惠、品质也有保障，购物省心，比宝宝好太多，现在购物基本上在京东哈哈哈",4,TRUE,"""杀***i""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/2/24 14:30,5,"""来自京东iPhone客户端""","""PLUS会员""","""广东"""
2016/2/28 11:49,"""好好",26,TRUE,"""j***b""","""【新品统一型号】品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/4/6 9:48,5,"""来自京东Android客户端""","""钻石会员""",""""""
2016/5/2 10:23,"""一直是格力的重视用户，用了好多年，放心",50,FALSE,"""s***n""","""【新品统一型号】品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/3/13 23:22,5,"""""","""钻石会员""","""北京"""
2016/5/2 10:17,"""还不错，买第二个啦，物流很快，安装师傅态度好，但是吧现在没有出这款空调加冷媒价格，师傅说得拆走加，这样想想就麻烦",5,TRUE,"""高***兔""","""【新品统一型号】品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/4/27 21:21,5,"""来自京东Android客户端""","""钻石会员""","""北京"""
2016/5/2 10:15,"""制冷效果明显无噪音，赞！",3,TRUE,"""可以买买提""","""【新品统一型号】品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/4/29 9:16,5,"""来自京东iPhone客户端""","""钻石会员""",""""""
2016/5/2 10:15,"""东西就是不错的 ，就是送货速度太慢了，说好马上到楼下了，我一个孕妇去门卫给登记，结果在下面等了一个小时才送到，安装速度和态度值得表扬，产品还没用，但愿没什么问题。",17,FALSE,"""b***u""","""【新品统一型号】品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/4/15 11:28,5,"""""","""金牌会员""",""""""
2016/5/2 10:09,"""很好！！！",2,TRUE,"""l***5""","""【新品统一型号】品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/4/30 13:17,5,"""来自京东Android客户端""","""金牌会员""","""北京"""
2016/5/2 13:30,"""安装师傅很专业负责",3,TRUE,"""川***老""","""【新品统一型号】品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/4/29 11:16,5,"""来自京东Android客户端""","""银牌会员""",""""""
2016/5/2 10:00,"""可以",8,TRUE,"""j***m""","""【新品统一型号】品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/4/24 4:18,5,"""来自京东Android客户端""","""金牌会员""","""浙江"""
2016/5/2 9:59,"""货真价实",2,FALSE,"""r***4""","""【新品统一型号】品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/4/30 16:51,5,"""""","""银牌会员""",""""""
2016/5/2 9:57,"""安装很好",2,TRUE,"""h***t""","""【新品统一型号】品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/4/30 15:17,5,"""来自京东iPhone客户端""","""金牌会员""","""广东"""
