creationTime,content_1,days,isMobile,nickname,productSize,referenceName,referenceTime,score,userClient,userLevel,userProvince
2017/3/25 13:10,"""很开心的一次购物，就是感觉价格有点贵了而已，安装师傅服务态度很好，给安装师傅点赞。",2,TRUE,"""j***1""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/3/23 13:09,5,"""来自京东iPhone客户端""","""钻石会员""","""西藏"""
2017/4/18 12:41,"""比实体店价格便宜，他要求搞工会之家为等等其他一些附加消费安装高空息休会，休会",26,TRUE,"""3***1""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/3/23 9:35,5,"""来自京东Android客户端""","""钻石会员""",""""""
2017/3/1 14:07,"""师傅超级无敌的",2,TRUE,"""j***w""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/2/27 16:37,5,"""来自京东iPhone客户端""","""钻石会员""",""""""
2017/3/1 14:07,"""空调还不错、装空调的师傅说这空无不错，一级节能；省电点，希望滥用、更新师傅安装，你们辛苦了",2,TRUE,"""z***4""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/1/10 10:09,5,"""来自京东iPhone客户端""","""钻石会员""","""云南"""
2017/1/12 18:56,"""质量一直杠杠的！支持格力空调，制热效果很快的，快递很给力，售后安装也很给力！总之就是买的很开心的",2,TRUE,"""萃***宝""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/2/11 1:57,5,"""来自京东iPhone客户端""","""金牌会员""",""""""
2017/2/13 20:54,"""挺给力的，送货并主动预约安装，速度均很快，工作人员专业礼貌，安装完成后试机运行真的安静，",18,FALSE,"""d***8""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/3/23 17:35,5,"""""","""钻石会员""","""上海"""
2017/2/6 10:44,"""买空调还是格力的好，虽然贵点但效果好，京东物流也很快，安装是京东自己装的没有乱收费现象",87,TRUE,"""j***j""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2016/11/11 0:15,5,"""来自京东iPhone客户端""","""钻石会员""",""""""
2017/3/27 11:39,"""新家买的，一次买了2台，格力技术发展也很成熟，所以认准国内品牌，所有新家的东西都是在京东上购买的，安装师傅也很及时，技术熟练，高空作业危险，很辛苦的",4,TRUE,"""g***n""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/3/23 21:52,5,"""来自京东iPhone客户端""","""钻石会员""","""上海"""
2017/1/14 16:48,"""第一次网上买大件电器，空调看了还不错，除了架子要钱安装是免费的，客服也都有提前沟通，蛮好。",4,TRUE,"""m***6""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/1/10 23:01,5,"""来自京东Android客户端""","""金牌会员""","""江苏"""
2017/4/10 16:47,"""很不错！制冷和制热都不错，很舒适！",18,FALSE,"""t***n""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/3/23 19:45,5,"""""","""金牌会员""","""山东"""
2017/4/12 16:52,"""外观好看，京东送货速度很快，客服也很好，能够及时的解决问题，挺满意的",2,TRUE,"""c***0""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/4/14 16:54,5,"""来自京东iPhone客户端""","""金牌会员""",""""""
2017/4/16 10:06,"""满意，跟墙体颜色挺搭的?安装服务好评，试试挺静音的，看以后的质量吧",1,TRUE,"""肖***华""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/4/12 10:56,5,"""来自京东iPhone客户端""","""PLUS会员""","""广东"""
2017/4/13 20:03,"""物流给力，外观也漂亮！?安装师傅也挺热情，用心。家住22楼，师傅挺不容易！安装后，通电试用了一下。效果不错！！！",7,TRUE,"""j***d""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2016/11/11 0:00,5,"""来自京东iPhone客户端""","""金牌会员""",""""""
2016/11/18 23:25,"""格力空调就是好，产品质量杠杠的，服务更是好，安装给你整得妥妥的。",2,TRUE,"""星***-""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/4/18 1:43,5,"""来自京东Android客户端""","""银牌会员""",""""""
2017/4/20 11:47,"""高端大气上档次！师傅安装的很认真，这么高太操心了！就收了个空开钱",8,TRUE,"""j***i""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/3/23 15:18,5,"""来自京东iPhone客户端""","""钻石会员""",""""""
2017/3/31 18:12,"""因装修灰尘大，安装好后包裹了一下，这挂机整体感觉不错，挺独特，好空调格力造！",13,TRUE,"""和***6""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/1/10 0:19,5,"""来自京东Android客户端""","""钻石会员""","""黑龙江"""
2017/1/23 6:55,"""还不错，23号下单，25号早上送来，马上预约了安装，上午就来安装了，神速啊！",2,TRUE,"""锦***子""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/3/23 6:32,5,"""来自京东Android客户端""","""银牌会员""","""辽宁"""
2017/3/25 14:06,"""不错，格力的品牌让人相信，安装师傅也很给力，一口气装了三个，辛苦了",12,TRUE,"""1***0""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/3/23 0:09,5,"""来自京东Android客户端""","""钻石会员""",""""""
2017/4/4 14:40,"""京东的速度杠杠滴！！十八号买的，十九号安装完毕。超级点赞?",1,TRUE,"""j***4""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/4/18 10:52,5,"""来自京东Android客户端""","""金牌会员""",""""""
2017/4/19 20:18,"""京东商城发货就是速度，昨天晚上买的下午就到了，必须赞一个！",1,TRUE,"""j***c""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/4/11 23:10,5,"""来自京东iPhone客户端""","""钻石会员""","""河南"""
2017/4/12 14:46,"""价格实惠，东西看起来不错，具体使用才知道",4,TRUE,"""e***r""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2016/11/8 6:28,5,"""来自京东Android客户端""","""钻石会员""","""福建"""
