creationTime,content_1,days,hour,mobile,nickname,productColor,productSize,recommend,score,usefulVoteCount,userClient,userLevel,userProvince
2017-04-01 14:26:23,"""一定要给五星好评","9,""afterDays"":0", 14,true,"""s***z""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""银牌会员""",""""""
2017-04-01 14:20:41,"""到货速度快，安装工人非常给力！非常满意的一次购物！","2,""afterDays"":0", 14,true,"""j***6""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""钻石会员""","""江苏"""
2017-04-01 14:11:33,"""这个必须得给差评，首先安装人员很不专业，最起码的轻拿轻放都不知道 安装工具随意丢 弄的叮当响，屋子弄得墨墨迹迹，服务态度也是相当恶劣 :跟欠他钱的似的！！还有就是外机那个安装支架非常单薄 都生锈了  螺丝也都是锈！总之很不满意！","7,""afterDays"":0", 14,true,"""格力服务中心""","""正1.5匹""","""品圆变频挂机""",false,1,0,"""来自京东iPhone客户端""","""铜牌会员""",""""""
2017-04-02 08:27:32,"""送货安装都很好，必须支持，空调也不错！","4,""afterDays"":0", 08,true,"""j***h""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""钻石会员""","""安徽"""
2017-04-01 13:42:45,"""一直用的格力，很给力，安装工人很速度，服务好","17,""afterDays"":0", 13,false,"""不***觉""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""""","""钻石会员""",""""""
2017-04-01 13:25:29,"""提前沟通，服务周到！安装水平、服务质量很到位！这就是格力品牌！买家电、上京东！","6,""afterDays"":0", 13,true,"""j***t""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""钻石会员""","""江苏"""
2017-04-01 13:25:29,"""一下买三台，安装费还是偏高，没办法，谁让咱认准格力了呢！","17,""afterDays"":0", 13,true,"""楠***佬""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""钻石会员""","""北京"""
2017-04-04 16:45:43,"""产品不错，测试了下热风热得快。安装师傅熟练，态度很好！","39,""afterDays"":0", 16,true,"""松***爷""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""PLUS会员""","""贵州"""
2017-04-01 13:07:46,"""质量好。送货快，服务好。","9,""afterDays"":0", 13,false,"""3***峰""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""""","""钻石会员""",""""""
2017-04-01 12:49:22,"""wu","1,""afterDays"":0", 12,true,"""张***3""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""金牌会员""",""""""
2017-04-10 08:52:44,"""好","2,""afterDays"":0", 08,true,"""h***e""","""正1.5匹""","""品圆变频挂机""",true,5,0,"""来自京东Android客户端""","""银牌会员""","""广东"""
2017-04-02 09:31:09,"""选择格力还是非常正确的,特别是他们的安装团队,还自带水钻免费打孔,记得以前都水钻是收费的.","3,""afterDays"":0", 09,false,"""风***8""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""""","""钻石会员""","""福建"""
2017-04-02 09:29:20,"""东西不错，装了还没怎么用！","10,""afterDays"":0", 09,true,"""j***铭""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""金牌会员""",""""""
2017-04-02 09:28:19,"""格力售后非常好","43,""afterDays"":0", 09,true,"""j***橙""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""金牌会员""","""山东"""
2017-04-02 09:17:40,"""外观还不错，就是没用，等到了夏天再试试，试好了再来评价呀。先好评。。。","10,""afterDays"":0", 09,true,"""x***8""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""金牌会员""","""四川"""
2017-04-02 09:12:05,"""还没用以后评价","22,""afterDays"":0", 09,true,"""j***b""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""金牌会员""",""""""
2017-04-02 09:09:13,"""不错","10,""afterDays"":0", 09,true,"""张***-""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""钻石会员""","""江苏"""
2017-04-02 09:08:52,"""非常满意","6,""afterDays"":0", 09,true,"""j***t""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""银牌会员""",""""""
2017-04-02 08:57:29,"""很好","10,""afterDays"":0", 08,true,"""烈***金""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""金牌会员""","""湖北"""
2017-04-02 08:53:01,"""太阳花","22,""afterDays"":29", 08,false,"""5***伟""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""""","""钻石会员""",""""""
2017-02-06 11:48:26,"""格力空调真心不错。物流快，安装师付非常到位，热情，非常愉快的一次购物","2,""afterDays"":0", 11,true,"""默***m""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""PLUS会员""","""安徽"""
2017-02-14 10:50:53,"""送货快，安装快，师傅态度都很好。空调打起速度给力，很好！省事省力省心！","38,""afterDays"":0", 10,true,"""h***x""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""钻石会员""",""""""
2017-02-01 00:06:49,"""约了好久，总算年前盼到安装，试机30分钟，运转正常，安装师傅很辛苦，由于客观条件，铜管接了3米，需要额外收费","67,""afterDays"":0", 00,true,"""j***6""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""PLUS会员""","""江苏"""
2017-01-14 16:21:28,"""格力安装师傅不错，而且没收高空作业费，只花费1.5米管子钱。","2,""afterDays"":0", 16,true,"""2***d""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""金牌会员""","""北京"""
2017-03-25 12:46:27,"""安装师傅也很客气 还说明他们不额外收费 \n安装后还告诉注意事项的地方 \n整体来说很满意 价格上面我们也没等双11 觉得那个时候送货会慢就先买了 价钱也没有贵","3,""afterDays"":0", 12,true,"""w***7""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""银牌会员""",""""""
2016-11-11 10:34:53,"""不错，头天下单第二天上午就到了，安装也特别及时，预约的礼拜天安装，师傅8点就到了，以后大家电就选京东了","3,""afterDays"":0", 10,true,"""j***n""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""银牌会员""",""""""
2016-12-11 13:00:57,"""京东物流快服务好，格力品牌真的不错，安装师傅态度好，很热情，顾客非常满意，点赞","71,""afterDays"":0", 13,true,"""7***军""","""正1.5匹""","""品圆变频挂机""",false,5,1,"""来自京东Android客户端""","""钻石会员""",""""""
2017-01-21 14:45:43,"""看着很轻巧，很好看。安装师傅服务非常好，安装好后收拾的很干净。","21,""afterDays"":0", 14,true,"""g***7""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""钻石会员""","""北京"""
