creationTime,content_1,days,hour,mobile,nickname,productColor,productSize,recommend,score,usefulVoteCount,userClient,userLevel,userProvince
2015-11-18 16:50:06,"""价格无敌*元，11月12日买的，第二天就*元，在实体店我之前买凉之净*元，支持京东！\n","6,""afterDays"":0", 16,true,"""s***8""","""【新品统一型号】品圆变频挂机""","""大1匹""",false,5,0,"""来自京东iPhone客户端""","""钻石会员""","""广东"""
2015-11-18 16:50:06,"""格力空调现在的配套服务做得不错。师傅安装很专业，详细讲解分析安装位置的利弊。点个赞~","7,""afterDays"":0", 16,false,"""jd_052229988""","""【新品统一型号】品圆变频挂机""","""大1匹""",false,5,0,"""""","""钻石会员""","""广东"""
2015-11-18 15:14:17,"""太差，太差，太差了，重要的事情说三遍，以后在也不回来京东购物了，太让人失望了！货收到以后，打了三次格力的400客服电话，最后一次给了我一个当地安装空调的电话，打了以后，来的到挺快，但安装技术实在太次了，两个支架安装的高低至少差了1厘米，没办法用螺栓来找平，空调一端根本就没放到支架上，悬空的！！！","5,""afterDays"":0", 15,true,"""格力空调GREE""","""【新品统一型号】品圆变频挂机""","""大1匹""",false,1,7,"""来自京东Android客户端""","""注册会员""",""""""
2015-12-17 12:38:18,"""机器漂亮，省电，制冷制热都快，送货快安装快，相信京东","7,""afterDays"":0", 12,false,"""1***q""","""【新品统一型号】品圆变频挂机""","""大1匹""",false,5,0,"""""","""金牌会员""","""广东"""
2015-11-18 11:37:55,"""静+凉静+凉静+凉静+凉静+凉","7,""afterDays"":0", 11,false,"""s***9""","""【新品统一型号】品圆变频挂机""","""大1匹""",false,5,0,"""""","""钻石会员""","""北京"""
2015-11-18 10:43:21,"""送货快按装及时，产品不错很满意，格力很棒！支持京东！5星！阳光","7,""afterDays"":0", 10,true,"""j***s""","""【新品统一型号】品圆变频挂机""","""大1匹""",false,5,0,"""来自京东Android客户端""","""银牌会员""","""河北"""
2015-11-18 10:42:46,"""发货很快.收到了但是还没有安装","7,""afterDays"":0", 10,true,"""k***5""","""【新品统一型号】品圆变频挂机""","""大1匹""",false,5,0,"""来自京东iPhone客户端""","""银牌会员""","""广东"""
2015-11-18 10:32:21,"""好。漂亮。安装师傅服务好","6,""afterDays"":0", 10,false,"""jd_181286hwc""","""【新品统一型号】品圆变频挂机""","""大1匹""",false,5,0,"""""","""铜牌会员""",""""""
2015-11-18 09:56:02,"""空调装好了，送货速度快。比较静，总体感觉良好。买之后又降价100大元有点无奈。","7,""afterDays"":0", 09,true,"""jd_136952las""","""【新品统一型号】品圆变频挂机""","""大1匹""",false,5,0,"""来自京东iPhone客户端""","""钻石会员""","""广东"""
2015-11-18 09:25:03,"""双十一抢的，昨天早上已经安装完毕了。。。下雨天还上门安装的工作人员辛苦咯～","7,""afterDays"":0", 09,true,"""橙***苹""","""【新品统一型号】品圆变频挂机""","""大1匹""",false,5,0,"""来自京东iPhone客户端""","""银牌会员""","""上海"""
